@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.022,0.331,0.647,0.105,0.369,2
0.062,0.443,0.494,0.132,0.583,1
0.112,0.698,0.19,0.597,0.285,1
0.127,0.7,0.173,0.074,0.571,1
0.038,0.715,0.247,0.185,0.621,1
0.022,0.318,0.66,0.022,0.21,1
0.069,0.484,0.447,0.026,0.283,2
0.03,0.091,0.879,0.064,0.671,2
0.19,0.349,0.461,0.303,0.55,2
0.029,0.498,0.473,0.026,0.811,1
0.184,0.782,0.034,0.484,0.421,1
0.024,0.178,0.798,0.051,0.284,2
0.005,0.619,0.376,0.005,0.786,1
0.056,0.824,0.12,0.16,0.755,1
0.023,0.769,0.208,0.004,0.355,2
0.123,0.671,0.206,0.253,0.458,1
0.052,0.781,0.167,0.188,0.575,1
0.4,0.547,0.053,0.78,0.21,1
0.009,0.804,0.187,0.082,0.597,1
0.019,0.071,0.91,0.006,0.242,2
0.02,0.41,0.57,0.108,0.3,2
0.081,0.687,0.232,0.219,0.751,1
0.612,0.304,0.084,0.235,0.725,1
0.463,0.356,0.182,0.624,0.279,1
0.078,0.792,0.13,0.09,0.847,2
0.242,0.51,0.248,0.368,0.541,1
0.044,0.018,0.938,0.291,0.396,2
0.096,0.709,0.195,0.668,0.238,1
0.218,0.676,0.106,0.114,0.75,1
0.151,0.706,0.144,0.711,0.238,1
0.573,0.225,0.202,0.21,0.664,1
0.027,0.694,0.279,0.019,0.419,2
0.062,0.501,0.438,0.047,0.757,1
0.045,0.785,0.17,0.118,0.619,1
0.3,0.625,0.076,0.234,0.711,1
0.063,0.826,0.111,0.128,0.65,1
0.113,0.711,0.176,0.128,0.622,1
0.161,0.816,0.023,0.42,0.496,1
0.124,0.833,0.043,0.072,0.759,1
0.381,0.432,0.187,0.549,0.342,2
0.116,0.622,0.262,0.049,0.537,1
0.121,0.839,0.04,0.439,0.516,1
0.44,0.463,0.096,0.195,0.641,1
0.321,0.636,0.043,0.372,0.539,1
0.149,0.025,0.827,0.477,0.078,2
0.04,0.663,0.298,0.201,0.085,2
0.313,0.549,0.138,0.502,0.448,2
0.338,0.526,0.136,0.131,0.661,1
0.653,0.314,0.033,0.26,0.556,1
0.185,0.77,0.045,0.77,0.163,0
0.169,0.729,0.102,0.165,0.804,0
0.233,0.723,0.044,0.473,0.501,0
0.657,0.284,0.059,0.786,0.164,0
0.545,0.264,0.191,0.677,0.304,0
0.646,0.133,0.221,0.15,0.786,0
0.456,0.309,0.235,0.293,0.639,0
0.622,0.232,0.146,0.402,0.536,0
0.577,0.399,0.024,0.901,0.096,0
0.289,0.668,0.043,0.501,0.436,0
0.839,0.051,0.11,0.492,0.406,0
0.489,0.458,0.053,0.594,0.349,0
0.152,0.011,0.838,0.157,0.505,0
0.173,0.806,0.021,0.734,0.219,0
0.237,0.259,0.504,0.397,0.432,0
0.182,0.48,0.338,0.129,0.343,0
0.74,0.027,0.233,0.821,0.164,0
0.656,0.234,0.11,0.453,0.478,0
0.462,0.431,0.107,0.179,0.615,0
0.123,0.871,0.006,0.598,0.396,0
