@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,10,4.479066,1.093578,0
3,12,4.476359,1.528311,2
5,16,5.282326,1.280677,1
1,2,4.185434,0.909132,0
2,8,3.717095,0.984829,0
3,12,3.710519,1.345939,0
4,2,3.489355,0.912514,0
5,8,3.744269,0.778954,0
2,8,3.451455,0.810931,0
3,5,3.226075,1.07731,0
5,7,7.094787,0.942031,1
3,8,2.717923,1.389971,1
5,7,5.802987,0.962503,0
1,2,4.538522,0.827228,0
2,8,3.969727,1.162022,0
3,12,4.502463,1.411658,1
5,7,4.498704,0.914621,0
3,8,4.198062,1.846723,1
1,2,4.094864,1.259681,2
2,8,4.251957,1.424136,2
3,7,4.352923,1.210063,2
5,7,4.445478,1.001017,0
2,11,5.38112,1.467484,1
3,9,3.762812,0.99746,1
5,6,4.589115,0.984709,0
2,8,4.05231,0.91816,0
3,6,4.063057,1.013069,0
4,2,4.036506,0.973879,0
1,2,3.901367,1.156482,0
2,14,3.400645,1.24162,0
5,6,3.393658,0.855982,0
1,2,4.657121,0.935341,0
2,8,4.515958,1.009672,0
3,7,3.946242,1.016683,0
3,12,4.301709,1.671908,2
3,9,3.57853,1.797433,1
4,2,4.217083,1.013652,0
5,7,5.32793,1.052369,0
1,2,4.445331,1.076216,0
2,8,5.047678,0.978999,1
3,10,3.350088,1.695732,2
4,2,2.916137,0.943197,0
5,7,4.917948,1.161318,0
1,2,3.406422,1.369432,1
2,8,3.649491,0.787863,0
3,7,4.131687,1.314558,1
4,2,4.009388,1.025016,0
5,7,3.817433,0.841756,1
2,10,3.258206,1.999824,0
3,5,2.917086,0.715359,0
4,2,3.016237,1.081835,0
5,7,4.000689,1.139459,0
1,2,3.670158,0.909132,0
3,7,3.438863,1.064659,0
4,1,3.169606,0.912514,0
5,7,3.850844,0.957992,0
1,2,3.685902,0.991036,0
2,8,3.455159,0.703703,0
3,2,3.377466,0.692028,0
2,8,4.94207,0.941228,0
3,18,4.223454,1.93413,1
5,10,4.426974,2.070387,2
1,2,3.953887,0.909132,0
2,8,3.422389,0.854025,0
3,8,3.185894,0.747233,0
4,2,1.627654,0.990925,0
5,7,3.561084,1.147092,0
1,2,3.706473,0.792829,0
2,8,3.358486,1.267476,0
1,2,3.909108,0.846885,0
2,8,3.368784,1.036542,0
3,3,3.104877,0.813117,0
4,2,3.488715,1.171609,0
5,7,3.58635,1.011773,0
1,2,3.784312,1.703599,2
2,8,4.840624,0.647934,0
3,5,2.41161,0.884422,0
4,2,3.247011,0.89206,0
1,2,3.647504,0.704373,0
2,8,3.439014,0.686972,0
3,7,3.92146,1.033606,0
4,2,2.781845,0.97047,0
2,9,4.623354,0.969112,1
3,5,4.459865,0.933876,1
4,2,1.857721,1.022743,0
5,7,4.915703,0.821632,0
1,2,4.892608,1.005779,0
2,8,5.179627,0.749332,0
3,2,1.596783,0.567982,0
4,2,2.224549,0.992061,0
5,8,4.657423,0.937868,0
2,8,4.360455,0.971647,1
3,6,5.654631,0.986616,2
2,10,3.864322,1.052005,1
3,7,3.093536,1.194291,0
1,2,3.066823,0.966465,0
2,8,3.570451,1.226663,0
3,7,3.586543,1.330002,2
5,7,4.149177,0.98575,0
1,2,3.176732,0.876371,0
1,2,3.995587,0.878009,0
3,7,3.620939,0.740332,0
4,2,3.050896,1.059108,0
5,7,3.83573,0.789363,0
2,8,3.797649,1.320203,0
1,2,6.251011,1.027074,1
2,9,4.564996,0.692296,0
3,10,4.219458,1.095054,1
4,3,3.188565,1.193201,0
1,2,4.541616,1.048369,1
2,8,3.995826,0.695844,0
3,6,3.931977,1.07846,0
4,2,3.601488,0.900014,0
1,2,5.252722,0.984484,0
2,8,3.371703,0.780005,0
3,8,3.417787,1.040178,0
1,2,5.794505,1.066388,0
3,7,3.754747,0.846798,0
2,8,4.783542,0.850477,1
3,8,4.19326,1.553777,2
4,3,3.476314,1.084108,0
1,2,5.853308,1.29408,0
2,8,3.704572,0.608642,0
3,8,3.672899,0.761198,0
5,7,5.855324,0.919825,0
1,2,5.325631,1.587296,1
2,8,3.483463,0.716124,0
3,6,4.185694,0.824782,0
1,2,5.18147,0.964827,0
2,13,6.312105,1.322992,0
3,7,4.034402,0.867335,0
4,2,2.99686,1.228428,0
5,7,5.47714,1.038837,0
1,2,5.537619,1.372708,1
2,11,5.832212,1.03933,0
3,5,4.701641,0.658347,0
4,2,3.289836,1.053426,0
5,7,5.590564,0.943766,0
1,2,4.727714,0.98776,0
2,8,4.337568,0.870249,0
3,5,4.048899,0.778778,0
1,2,5.945864,0.95336,0
2,8,3.852648,0.677086,0
3,8,3.339058,0.704186,0
5,7,4.668016,1.113436,0
1,2,5.612044,0.946808,0
2,8,5.015264,0.653004,0
3,7,3.981518,1.07731,0
5,7,4.225795,0.935092,0
2,8,4.533209,0.794454,0
5,7,3.879643,0.998588,1
1,2,4.485791,0.863266,0
2,12,4.290601,1.400308,0
3,10,4.128358,1.249331,1
5,9,4.150492,1.346602,1
1,2,3.64003,0.878009,0
2,8,3.250854,0.737164,0
3,2,3.13997,0.575047,0
1,2,4.984469,0.948446,0
2,8,4.892,0.918413,0
3,7,4.414368,0.889187,1
4,2,2.440765,0.909105,0
5,7,4.977835,0.893108,0
3,5,3.006312,1.158309,0
4,2,6.408688,1.076153,0
2,8,5.013164,1.135405,0
3,4,3.506631,0.753805,0
4,2,3.513744,0.930697,0
5,7,4.205279,0.973259,0
2,8,4.629398,0.862137,0
1,2,5.306196,0.843609,0
2,8,3.733265,0.685198,0
5,7,4.985496,0.960421,1
2,8,3.260765,0.771133,0
3,3,4.067144,0.697943,0
4,2,3.791195,0.978425,0
5,7,6.652536,1.205037,0
1,2,4.096242,0.810848,0
2,8,3.18945,1.079636,0
3,5,3.7363,0.637481,0
4,2,3.996101,1.003425,0
5,7,3.730318,0.861881,0
5,7,5.149257,0.948971,2
2,10,4.04139,1.276349,0
3,7,3.437098,1.059894,0
5,7,5.123771,1.037102,0
3,6,3.295283,0.941434,0
2,8,4.702139,0.885205,0
3,4,4.769537,1.229451,1
4,2,3.006776,0.845468,0
5,7,3.703772,0.988526,0
1,2,4.426246,0.896028,0
2,8,3.059064,0.751106,0
3,7,3.351255,0.848605,0
4,2,3.523456,0.919333,0
1,2,4.660529,0.82559,0
2,8,3.968782,0.673283,0
3,3,3.815871,0.579155,0
4,2,2.739084,0.994334,0
5,7,4.289719,1.107884,1
1,2,2.488381,0.999226,0
2,9,3.687866,0.934383,1
3,5,3.541463,0.795208,0
5,8,3.781682,2.092594,0
2,10,4.093473,1.271025,0
3,5,3.879328,0.895266,1
2,8,3.890653,0.684437,0
3,4,4.0526,0.613164,0
5,7,4.804256,0.906987,0
2,8,4.543385,0.993701,2
3,8,4.473364,1.303878,2
4,2,3.152967,1.085244,0
5,7,4.429462,1.010732,2
2,8,3.485899,0.910048,0
3,7,3.585223,0.984481,1
5,7,3.652439,0.874719,1
