@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0.008929,0.504177,0.526779,0.611583,0
0.044004,0,0,0.001101,0.515382,0.544931,0.633241,0
0.074713,0,0,0.046243,0.388827,0.398406,0.459451,0
0.007564,0,0,0.015152,0.321736,0.332256,0.375706,0
0.041667,0,0,0.010526,0.200062,0.203271,0.222028,0
0.004004,0,0,0.003006,0.657631,0.693378,0.808961,0
0,0,0,0.00095,0.826533,0.873956,1.024217,0
0,0,0,0.037037,0.606526,0.633037,0.739037,0
0,0,0,0.010799,0.232739,0.233225,0.255892,0
0,0,0,0.019608,0.226607,0.231330,0.256990,0
0.013464,0,0,0.007353,0.503705,0.528321,0.613890,0
0.017189,0,0,0.001012,0.719530,0.760834,0.890979,0
0.038835,0,0,0.009756,0.374091,0.392649,0.451949,0
0.013722,0,0,0.024055,0.233332,0.233302,0.255415,0
0.038647,0,0,0.009709,0.502126,0.528885,0.615296,2
0,0,0,0.007843,0.410485,0.427672,0.490054,0
0,0,0,0,0.833999,0.882097,1.033909,0
0,0,0,0.032258,0.509757,0.532232,0.619574,0
0,0,0,0.023758,0.273447,0.278945,0.307927,0
0,0,0,0,0.111264,0.113658,0.117325,0
0,0,0,0.007407,0.572813,0.603022,0.702649,0
0.007154,0,0,0.001591,0.689043,0.728385,0.851270,0
0.017647,0,0,0.023669,0.496406,0.516025,0.600318,0
0,0,0,0.03118,0.216801,0.214146,0.237695,0
0,0,0,0,0.439983,0.458525,0.527365,0
0,0,0,0.007952,0.549946,0.577229,0.669536,0
0,0,0,0.002857,0.872303,0.922164,1.082441,0
0,0,0,0.019608,0.575113,0.599819,0.700229,0
0,0,0,0.013582,0.309563,0.314518,0.354063,1
0,0,0,0,0.428531,0.448058,0.514670,2
0,0,0,0.003932,0.568458,0.597236,0.693345,1
0.007042,0,0,0.002643,0.648163,0.684712,0.801737,1
0.027933,0,0,0.033708,0.418627,0.432109,0.501872,0
0.023256,0,0,0.004237,0.152296,0.161878,0.169146,0
0.04918,0,0,0.016529,0.240054,0.248392,0.282750,0
0.00846,0,0,0.001695,0.411855,0.436796,0.505351,0
0.002894,0,0,0.001449,0.811338,0.858246,1.006107,0
0.011494,0,0,0.034682,0.408061,0.421911,0.485637,0
