@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,1.10329,0
3,1.547003,2
5,1.283906,1
1,0.909775,0
2,0.993575,0
3,1.3624,0
4,0.915264,0
5,0.780918,0
2,0.818133,0
3,1.090486,0
5,0.944406,1
3,1.406971,1
5,0.964929,0
1,0.827813,0
2,1.172342,0
3,1.428924,1
5,0.916926,0
3,1.869309,1
1,1.260571,2
2,1.436783,2
3,1.224863,2
5,1.00354,0
2,1.480516,1
3,1.00966,1
5,0.987192,0
2,0.926314,0
3,1.025459,0
4,0.976814,0
1,1.157299,0
2,1.252646,0
5,0.85814,0
1,0.936003,0
2,1.018638,0
3,1.029118,0
3,1.692356,2
1,1.076977,0
2,0.987693,1
3,1.716471,2
4,0.946039,0
5,1.164246,0
1,1.370399,1
2,0.79486,0
3,1.330635,1
4,1.028105,0
5,0.843878,1
2,2.017583,0
3,0.724108,0
4,1.085095,0
5,1.142332,0
1,0.909775,0
3,1.07768,0
4,0.915264,0
5,0.960407,0
1,0.991736,0
2,0.709952,0
3,0.700492,0
2,0.949586,0
3,1.957785,1
5,2.075607,2
1,0.909775,0
2,0.86161,0
3,0.756372,0
4,0.993911,0
5,1.149984,0
1,0.793389,0
2,1.278732,0
1,0.847484,0
2,1.045747,0
3,0.823061,0
4,1.17514,0
5,1.014324,0
1,1.704803,2
2,0.653688,0
3,0.895239,0
4,0.894748,0
1,0.704871,0
2,0.693073,0
3,1.046247,0
4,0.973394,0
2,0.977719,1
3,0.945298,1
4,1.025825,0
5,0.823703,0
1,1.00649,0
2,0.755986,0
3,0.574929,0
4,0.99505,0
5,0.940232,0
2,0.980276,1
3,0.998683,2
2,1.061348,1
3,1.208897,0
1,0.967148,0
2,1.237557,0
3,1.346268,2
5,0.988235,0
1,0.87699,0
1,0.878629,0
3,0.749387,0
4,1.062299,0
5,0.791353,0
2,1.331927,0
1,1.0278,1
2,0.698443,0
3,1.108447,1
4,1.196796,0
1,1.04911,1
2,0.702024,0
3,1.09165,0
4,0.902726,0
2,0.9235,0
3,1.045749,0
5,0.984061,0
3,0.893077,0
5,0.889446,0
1,0.98518,0
2,0.786932,0
3,1.0529,0
1,1.067141,0
3,0.857155,0
2,0.858029,1
3,1.572781,2
4,1.087375,0
1,1.294995,0
2,0.614047,0
3,0.770508,0
5,0.922144,0
1,1.588418,1
2,0.722484,0
3,0.834869,0
1,0.965509,0
2,1.334741,0
3,0.877943,0
4,1.23213,0
5,1.041456,0
1,1.373678,1
2,1.04856,0
3,0.666399,0
4,1.0566,0
5,0.946146,0
1,0.988458,0
2,0.877977,0
3,0.788303,0
1,0.954034,0
2,0.683099,0
3,0.712799,0
5,1.116243,0
1,0.947477,0
2,0.658803,0
3,1.090486,0
5,0.937449,0
2,0.801509,0
5,1.001105,1
1,0.863876,0
2,1.412743,0
3,1.264611,1
5,1.349997,1
1,0.878629,0
2,0.743711,0
3,0.58208,0
1,0.949116,0
2,0.926569,0
3,0.900062,1
4,0.911845,0
5,0.89536,0
3,1.172476,0
4,1.079396,0
2,1.145488,0
3,0.763024,0
4,0.933501,0
5,0.975713,0
2,0.869794,0
1,0.844205,0
2,0.691283,0
5,0.962842,1
2,0.777981,0
3,0.706479,0
4,0.981373,0
5,1.208075,0
1,0.811421,0
2,1.089224,0
3,0.645277,0
4,1.006448,0
5,0.864054,0
5,0.951363,2
2,1.287683,0
3,1.072857,0
5,1.039717,0
3,0.952948,0
2,0.893066,0
3,1.244487,1
4,0.848015,0
5,0.991018,0
1,0.896661,0
2,0.757777,0
3,0.858984,0
4,0.922103,0
1,0.826174,0
2,0.679262,0
3,0.586238,0
4,0.99733,0
5,1.110677,1
1,0.999933,0
2,0.942681,1
3,0.804934,0
5,2.097869,0
2,1.282313,0
3,0.906216,1
2,0.690515,0
3,0.620664,0
5,0.909274,0
2,1.002526,2
3,1.319825,2
4,1.088515,0
5,1.01328,2
2,0.91813,0
3,0.996521,1
5,0.876924,1
