@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1168 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0.007092,0.010638,0,0.003546,0.014184,0,0,0.255995,0.256540,0.287366,0
0,0,0,0.010309,0,0,0,0,0,0.358386,0.376151,0.433989,1
0,0,0.00277,0.01108,0,0.00831,0,0,0,0.398534,0.424589,0.495440,0
0.008117,0,0,0.001626,0,0,0,0,0,0.578616,0.623354,0.734412,0
0,0,0,0.011905,0,0.011905,0,0,0,0.407093,0.425447,0.493325,0
0,0,0,0,0,0.004,0.004,0,0,0.271019,0.279413,0.314247,0
0,0,0,0,0,0,0,0,0,0.549150,0.589627,0.691503,0
0,0,0,0.005747,0,0.005747,0,0,0,0.509069,0.543739,0.635984,0
0,0,0,0,0,0.002252,0,0,0,0.773347,0.834919,0.987846,0
0,0,0,0,0,0,0,0,0,0.622482,0.671407,0.789181,0
0,0,0.003922,0.003922,0,0,0.019608,0,0,0.243964,0.249090,0.276265,0
0,0,0,0,0,0,0,0,0,0.319179,0.335280,0.380985,0
0.00409,0,0,0.006148,0,0.002049,0.002049,0,0,0.355002,0.377267,0.434105,0
0,0,0,0.002342,0,0.002342,0,0,0,0.747700,0.806575,0.953270,0
0,0,0,0.023529,0,0,0,0,0,0.527836,0.559142,0.655972,0
0,0,0,0.004082,0,0.008163,0,0,0,0.212864,0.212266,0.229920,0
0,0,0,0.053571,0,0,0,0,0,0.294529,0.304620,0.348118,0
0.007538,0,0,0.005038,0,0.002519,0,0,0,0.465780,0.499628,0.587839,0
0,0,0.001621,0,0,0.003241,0,0,0,0.703339,0.759621,0.896968,0
0,0,0,0.011236,0,0.022472,0,0,0,0.598766,0.631338,0.741299,0
0,0,0,0.011976,0,0,0.002994,0,0,0.326716,0.338704,0.388175,0
0,0,0,0,0,0,0,0,0,0.304875,0.322716,0.373502,0
0,0,0,0,0,0,0,0,0,0.462280,0.495342,0.579972,0
0,0,0,0.001969,0,0.000984,0.001969,0,0,0.707604,0.764182,0.903723,2
0,0,0.011494,0.022989,0,0,0,0,0,0.570984,0.604079,0.710228,0
0,0,0.004032,0.008065,0,0,0.004032,0,0,0.251539,0.261783,0.298510,0
0,0,0,0.016129,0,0,0,0,0,0.413575,0.440374,0.507491,0
0,0,0.002092,0.006276,0,0.004184,0.002092,0,0,0.498753,0.534483,0.628786,0
0.017383,0,0,0,0,0,0,0,0,0.251288,0.273959,0.316295,1
0.044944,0,0,0,0,0,0,0,0,0.031805,0.040994,0.031155,0
0.013201,0,0,0,0,0,0,0,0,0.046414,0.059878,0.045722,0
0.123077,0,0,0,0,0,0,0,0,0.057953,0.058828,0.054488,0
0.031088,0.002597,0,0.007792,0.002597,0.005195,0,0,0,0.302859,0.325936,0.376588,1
0.006783,0,0,0.00194,0,0,0.00097,0,0.00097,0.609236,0.657763,0.776145,2
0.02439,0,0,0,0,0,0,0,0,0.410281,0.439680,0.512875,0
0.002994,0,0,0.006006,0,0.006006,0.003003,0,0,0.148344,0.151310,0.158083,0
0.024096,0.012195,0,0,0,0,0,0,0,0.159810,0.170086,0.186228,1
0.035484,0,0,0.003236,0,0,0,0,0,0.242168,0.262853,0.298455,0
0.0125,0,0.001252,0,0,0.001252,0.001252,0,0,0.549042,0.593586,0.699535,1
0,0,0.011236,0,0,0,0,0,0,0.564636,0.604798,0.706353,0
0.008264,0,0,0,0,0,0,0,0,0.118804,0.128956,0.130037,1
0,0,0,0.016949,0,0,0,0,0,0.406853,0.428734,0.495330,0
0,0,0,0.006353,0,0.001271,0.002541,0,0,0.610581,0.656197,0.772853,0
0.002299,0,0,0.002304,0,0,0,0,0,0.690790,0.746319,0.881220,0
0,0,0,0.021277,0,0,0,0,0,0.329326,0.348906,0.405077,0
0,0,0,0.009174,0,0,0.003058,0,0,0.262396,0.269177,0.297174,0
0,0,0,0.018519,0,0,0,0,0,0.303974,0.319196,0.360854,0
0,0,0.002924,0.002924,0,0.002924,0.005848,0,0,0.553148,0.594023,0.697120,0
0.017002,0.001548,0,0,0,0.001548,0,0,0,0.531090,0.573911,0.675580,0
0,0,0.012658,0,0,0,0,0,0,0.504141,0.538924,0.632543,0
0,0,0.003636,0.010909,0,0.003636,0.003636,0,0,0.244019,0.250285,0.280211,0
0,0,0,0.016949,0,0,0,0,0,0.307182,0.309730,0.351261,0
0.00361,0,0.007246,0.003623,0,0,0.007246,0,0,0.363721,0.387506,0.448946,0
0,0,0.002381,0,0,0,0.002381,0,0,0.755062,0.816636,0.966690,0
0,0,0,0,0,0.012821,0,0,0,0.524490,0.555053,0.648899,0
0,0,0,0.003663,0,0.007326,0,0,0,0.241814,0.247035,0.273874,0
0,0,0,0.016949,0,0,0,0,0,0.393449,0.416048,0.487503,2
0,0,0,0.002703,0,0,0,0,0,0.408564,0.440020,0.513429,0
0,0,0.003401,0.001701,0.00085,0.004252,0.004252,0,0,0.675653,0.727865,0.859659,1
0,0,0.018692,0.009346,0,0,0.009346,0,0,0.487125,0.519553,0.610434,2
0.015101,0,0,0.003361,0,0.003361,0,0,0,0.323827,0.342125,0.396430,2
0,0,0,0.018519,0,0,0,0,0,0.220556,0.216965,0.239264,0
0,0,0.00597,0.01194,0,0.008955,0.00597,0,0,0.441483,0.470437,0.550269,0
0.019824,0.002208,0,0,0,0.002208,0,0,0,0.446431,0.482237,0.564713,0
0.045977,0,0,0.034884,0,0.011628,0,0,0,0.349699,0.357386,0.413199,0
0.006061,0,0,0.00304,0,0,0,0,0,0.286998,0.299781,0.338642,0
0,0,0,0,0,0,0,0,0,0.154189,0.157486,0.166718,0
0,0,0.002008,0.004016,0,0.004016,0.004016,0,0,0.583752,0.628919,0.739988,0
0,0,0,0,0,0,0,0,0,0.755716,0.817124,0.966201,0
0,0,0,0.025,0,0.025,0,0,0,0.541592,0.573299,0.673411,0
0,0,0.008658,0.004329,0,0.004329,0.008658,0,0,0.198846,0.197611,0.211385,0
0,0,0,0.04,0,0,0,0,0,0.206217,0.210195,0.228877,0
0.009804,0,0.002457,0.007371,0,0.002457,0.002457,0,0,0.434155,0.465030,0.544716,0
0.008097,0,0,0,0,0,0,0,0,0.652766,0.705296,0.833415,0
0.029126,0,0,0,0,0.009804,0,0,0,0.334762,0.357560,0.412646,0
0.003436,0,0,0.017241,0,0,0.006897,0,0,0.207923,0.205346,0.225019,0
0,0,0,0.009804,0,0,0,0,0,0.441019,0.473386,0.552041,2
0,0,0,0.011811,0,0.011811,0,0,0,0.336082,0.358103,0.414318,0
0,0,0,0,0,0,0,0,0,0.761351,0.823466,0.974497,0
0,0,0,0.025974,0,0,0,0,0,0.452138,0.479137,0.559164,0
0,0,0,0.008658,0,0,0,0,0,0.244915,0.248239,0.271814,0
0,0,0,0,0,0,0,0,0,0.088599,0.088738,0.084309,0
0,0,0,0.007435,0,0,0,0,0,0.490559,0.526852,0.617697,0
0.00159,0,0,0,0,0,0,0,0,0.612793,0.661612,0.780037,0
0,0,0,0,0,0,0,0,0,0.431037,0.450174,0.525362,0
0,0,0,0.026786,0,0.008929,0.004464,0,0,0.191585,0.187174,0.204175,0
0,0,0,0,0,0,0,0,0,0.370017,0.392924,0.454203,0
0,0,0.007968,0.007968,0,0.003984,0.007968,0,0,0.480842,0.514391,0.600402,0
0,0,0,0,0,0,0.002865,0,0,0.803881,0.868518,1.028361,0
0,0,0,0.026316,0,0,0,0,0,0.508002,0.540119,0.633586,0
0,0,0.003401,0.006803,0,0.006803,0.003401,0,0,0.281622,0.285282,0.317710,1
0,0,0,0,0,0,0,0,0,0.373596,0.397062,0.455463,2
0,0,0,0.002625,0,0,0,0,0,0.508988,0.543904,0.635598,1
0.003521,0.001764,0.001764,0.003527,0,0,0.001764,0,0,0.574586,0.619576,0.731307,1
0,0,0,0.045455,0,0.011364,0.011364,0,0,0.343046,0.356003,0.414555,0
0.012712,0,0,0,0,0,0,0,0,0.128454,0.138540,0.141316,0
0,0,0,0.016667,0,0,0.016667,0,0,0.202172,0.210477,0.234686,0
0.00339,0,0.003401,0,0,0.003401,0.003401,0,0,0.345091,0.374540,0.435209,0
0,0,0,0,0,0,0,0,0,0.745911,0.806592,0.954247,0
0,0,0,0,0,0.011628,0,0,0,0.359201,0.370383,0.425835,0
