@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature165 numeric
@attribute bi_feature735 numeric
@attribute bi_feature843 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1281 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0,0,0,0.332765,0.352364,0.410187,0
0,0,0,0,0,0,0,0,0,0.484389,0.525755,0.612526,0
0.003226,0,0,0.001076,0.001076,0,0,0,0,0.722861,0.783242,0.922685,2
0,0,0,0,0.006579,0,0,0,0,0.702650,0.757064,0.891070,2
0.00271,0,0,0,0.008152,0.002717,0.005435,0,0,0.413214,0.438593,0.509948,1
0,0,0,0,0,0,0,0,0,0.299593,0.317749,0.362719,0
0,0,0,0.002584,0.002584,0,0.002584,0,0,0.466182,0.501542,0.584327,0
0.007326,0,0,0.002445,0.002445,0.003667,0.00489,0,0,0.615558,0.665410,0.781670,0
0,0,0,0,0,0,0,0,0,0.510039,0.547368,0.636515,0
0,0,0,0,0.008969,0,0,0,0,0.218979,0.222690,0.245220,0
0,0,0,0,0.021739,0,0,0,0,0.341696,0.363110,0.413198,0
0,0,0,0.003145,0.009434,0,0.006289,0,0,0.473925,0.508659,0.591488,0
0,0,0,0.001529,0.001529,0.004587,0.001529,0,0,0.758928,0.822622,0.969041,0
0,0,0,0.012987,0,0.012987,0.012987,0,0,0.566812,0.609393,0.712655,0
0,0,0,0,0.006645,0.003322,0.003322,0,0,0.344114,0.363254,0.413314,0
0,0,0,0,0,0,0,0,0,0.530766,0.571709,0.663913,0
0,0,0,0.003067,0.013804,0,0.003067,0,0,0.560808,0.602800,0.707446,0
0,0,0,0.00277,0,0.00277,0.00277,0,0,0.689870,0.746328,0.878384,0
0,0,0,0,0.018182,0.009091,0.009091,0,0,0.634810,0.678825,0.796190,0
0,0,0,0.003704,0.007407,0.007407,0.007407,0,0,0.239933,0.245281,0.270743,1
0,0,0,0,0.012987,0,0,0,0,0.476719,0.507203,0.593153,1
0,0,0,0.003096,0.003096,0.003096,0.001548,0,0,0.534567,0.575653,0.674440,0
0,0,0,0,0.001185,0,0,0,0,0.695036,0.753226,0.885607,1
0,0,0,0.012346,0.037037,0.012346,0.024691,0,0,0.591383,0.628883,0.738020,0
0,0,0,0.007246,0.007246,0.01087,0.007246,0,0,0.233320,0.233363,0.255736,0
0,0,0,0,0,0,0,0,0,0.208249,0.216876,0.239108,0
0,0,0,0,0.006565,0.002188,0,0,0,0.563469,0.607321,0.712088,0
0,0,0,0,0.004662,0.001166,0,0.001166,0,0.675903,0.730952,0.858682,1
0,0,0,0,0.020408,0,0,0,0,0.612755,0.658453,0.771008,0
0,0,0,0,0.003817,0.003817,0.01145,0,0,0.288064,0.298026,0.335257,0
0,0,0,0,0.017241,0,0.017241,0,0,0.425824,0.453658,0.531496,0
0,0,0,0.006073,0.010121,0.006073,0.008097,0,0,0.484894,0.519342,0.605220,0
0.002671,0,0,0.000891,0.003565,0.001783,0.004456,0,0,0.734034,0.795230,0.936428,1
0,0,0,0,0.036585,0.012195,0.02439,0,0,0.615798,0.655303,0.768902,0
0,0,0,0,0,0,0,0,0,0.273127,0.281208,0.319775,0
0,0,0,0,0.013333,0,0,0,0,0.047841,0.055864,0.042903,2
0,0,0,0,0,0.001786,0,0,0,0.314449,0.338698,0.393445,2
0,0,0,0,0.001361,0.001361,0,0,0,0.699997,0.757546,0.891599,2
