@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.087,0.875,0.038,0.071,0.816,0.094,0.463,0
0.017,0.339,0.643,0.01,0.394,0.286,0.179,2
0.064,0.471,0.464,0.037,0.586,0.198,0.716,1
0.03,0.95,0.019,0.976,0.024,0.033,0.673,0
0.538,0.226,0.236,0.392,0.404,0.101,0.468,0
0.113,0.229,0.658,0.06,0.549,0.331,0.211,0
0.377,0.398,0.226,0.956,0.042,0.165,0.38,0
0.729,0.228,0.042,0.937,0.057,0.072,0.68,0
0.378,0.196,0.426,0.744,0.203,0.241,0.342,0
0.218,0.551,0.23,0.018,0.292,0.208,0.201,0
0.027,0.75,0.223,0.414,0.291,0.169,0.561,1
0.029,0.766,0.206,0.034,0.606,0.199,0.24,1
0.461,0.085,0.454,0.084,0.519,0.126,0.607,0
0.782,0.092,0.126,0.868,0.127,0.088,0.652,0
0.168,0.466,0.366,0.051,0.478,0.136,0.369,0
0.004,0.805,0.19,0.14,0.753,0.194,0.253,1
0.693,0.168,0.139,0.865,0.127,0.169,0.532,0
0.01,0.339,0.651,0,0.163,0.269,0.184,1
0.151,0.373,0.476,0.014,0.335,0.075,0.765,2
0.049,0.056,0.895,0.015,0.693,0.058,0.63,2
0.031,0.547,0.422,0.172,0.624,0.173,0.254,2
0.292,0.635,0.073,0.421,0.543,0.097,0.634,0
0.018,0.51,0.472,0.005,0.802,0.103,0.44,1
0.032,0.904,0.064,0.537,0.39,0.144,0.29,1
0.699,0.116,0.185,0.807,0.166,0.354,0.396,0
0.702,0.205,0.092,0.457,0.412,0.157,0.458,0
0.119,0.366,0.515,0.282,0.471,0.299,0.249,0
0.565,0.153,0.281,0.31,0.648,0.614,0.154,0
0.088,0.773,0.14,0.522,0.436,0.085,0.603,0
0.06,0.068,0.872,0.113,0.594,0.172,0.476,0
0.753,0.196,0.05,0.588,0.315,0.304,0.459,0
0.536,0.224,0.239,0.918,0.045,0.838,0.063,0
0.097,0.571,0.332,0.734,0.156,0.212,0.366,0
0.033,0.921,0.046,0.308,0.539,0.172,0.249,0
0.015,0.176,0.809,0.003,0.291,0.216,0.221,2
0.008,0.62,0.372,0,0.799,0.178,0.552,1
0.78,0.007,0.213,0.77,0.179,0.643,0.265,0
0.512,0.399,0.09,0.605,0.384,0.021,0.851,0
0.323,0.359,0.318,0.702,0.198,0.98,0.013,0
0.221,0.73,0.049,0.104,0.861,0.088,0.844,1
0.001,0.822,0.177,0,0.338,0.286,0.235,2
0.723,0.175,0.102,0.484,0.412,0.365,0.302,0
0.457,0.36,0.183,0.052,0.889,0.343,0.458,0
0.045,0.668,0.287,0.01,0.53,0.066,0.904,1
0.137,0.858,0.004,0.512,0.474,0.363,0.392,0
0.008,0.845,0.147,0.02,0.631,0.27,0.321,1
0.924,0.021,0.055,0.637,0.334,0.506,0.158,0
0.567,0.394,0.039,0.675,0.315,0.062,0.753,1
0.009,0.176,0.815,0,0.071,0.318,0.224,0
0.153,0.839,0.009,0.812,0.171,0.183,0.248,0
0.931,0.004,0.066,0.187,0.512,0.254,0.405,0
0.368,0.422,0.21,0.335,0.556,0.214,0.51,0
0.168,0.808,0.024,0.399,0.404,0.319,0.392,0
0.129,0.809,0.062,0.443,0.356,0.344,0.246,0
0.953,0.008,0.039,0.684,0.271,0.163,0.383,0
0.726,0.183,0.091,0.854,0.132,0.085,0.642,0
0.113,0.843,0.044,0.853,0.14,0.816,0.072,0
0.942,0.02,0.038,0.94,0.056,0.122,0.516,0
0.712,0.099,0.189,0.538,0.251,0.202,0.204,0
0.272,0.626,0.102,0.076,0.867,0.064,0.556,0
0.001,0.817,0.183,0,0.729,0.205,0.246,1
0.005,0.091,0.904,0,0.204,0.292,0.408,2
0.511,0.454,0.035,0.913,0.08,0.522,0.286,0
0.817,0.071,0.112,0.305,0.661,0.182,0.408,0
0.065,0.928,0.006,0.552,0.388,0.392,0.265,0
0.993,0.002,0.005,0.797,0.104,0.997,0,0
0.499,0.367,0.134,0.174,0.801,0.277,0.44,0
0.241,0.738,0.021,0.81,0.119,0.385,0.415,0
0.071,0.586,0.342,0.014,0.598,0.171,0.322,0
0.052,0.928,0.02,0.325,0.376,0.253,0.507,0
0.226,0.312,0.462,0.142,0.433,0.256,0.355,0
0.224,0.651,0.124,0.484,0.337,0.264,0.228,0
0.649,0.085,0.266,0.098,0.637,0.507,0.255,0
0.807,0.081,0.112,0.643,0.316,0.561,0.263,0
0.027,0.374,0.598,0.002,0.307,0.614,0.152,2
0.712,0.23,0.058,0.759,0.215,0.116,0.53,0
0.008,0.989,0.003,0.965,0.034,0.167,0.22,0
0.938,0.004,0.059,0.497,0.411,0.866,0.036,0
0.038,0.702,0.259,0.174,0.807,0.122,0.422,1
0.279,0.564,0.157,0.086,0.842,0.181,0.32,1
0.988,0.007,0.006,0.486,0.387,0.955,0.013,0
0.295,0.692,0.013,0.504,0.493,0.07,0.734,0
0.001,0.952,0.048,0.414,0.523,0.729,0.154,0
0.332,0.514,0.154,0.247,0.741,0.075,0.581,0
0.089,0.91,0.001,0.714,0.28,0.206,0.209,0
0.89,0.079,0.031,0.81,0.178,0.916,0.026,0
0.74,0.171,0.088,0.461,0.451,0.143,0.613,0
0.612,0.233,0.155,0.336,0.484,0.181,0.367,1
0.014,0.869,0.116,0.389,0.566,0.25,0.181,2
0.199,0.569,0.232,0.132,0.699,0.05,0.604,1
0.024,0.948,0.029,0.202,0.667,0.228,0.289,0
0.112,0.864,0.023,0.552,0.162,0.831,0.115,0
0.231,0.261,0.508,0.009,0.583,0.121,0.402,0
0.027,0.018,0.954,0.032,0.504,0.252,0.207,2
0.373,0.567,0.06,0.289,0.628,0.178,0.596,0
0.177,0.801,0.022,0.124,0.596,0.07,0.639,0
0.07,0.908,0.023,0.485,0.46,0.536,0.279,0
0.367,0.516,0.117,0.974,0.024,0.196,0.246,0
0.969,0.002,0.029,0.519,0.272,0.98,0.004,0
0.703,0.244,0.054,0.892,0.099,0.464,0.337,0
0.062,0.082,0.856,0.014,0.749,0.095,0.402,0
0.055,0.706,0.239,0.235,0.421,0.081,0.632,1
0.713,0.104,0.183,0.955,0.043,0.074,0.562,0
0.104,0.743,0.152,0.107,0.766,0.095,0.647,1
0.566,0.049,0.385,0.925,0.071,0.497,0.253,0
0.158,0.732,0.11,0.036,0.719,0.038,0.816,1
0.785,0.184,0.03,0.824,0.173,0.202,0.538,0
0.076,0.861,0.063,0.233,0.709,0.365,0.297,0
0.881,0.034,0.085,0.837,0.149,0.257,0.414,0
0.559,0.1,0.342,0.273,0.439,0.252,0.307,0
0.067,0.828,0.105,0.388,0.456,0.213,0.24,0
0.175,0.555,0.27,0.316,0.4,0.325,0.445,0
0.513,0.329,0.158,0.264,0.463,0.12,0.597,0
0.724,0.172,0.104,0.806,0.182,0.249,0.493,0
0.269,0.34,0.39,0.955,0.044,0.611,0.174,0
0.9,0.005,0.095,0.583,0.406,0.116,0.498,0
0.354,0.541,0.105,0.229,0.506,0.274,0.199,0
0.168,0.423,0.409,0.02,0.704,0.249,0.438,0
0.159,0.799,0.043,0.395,0.518,0.235,0.197,0
0.505,0.204,0.291,0.106,0.748,0.089,0.492,1
0.006,0.741,0.253,0.003,0.407,0.303,0.208,2
0.575,0.188,0.237,0.96,0.031,0.136,0.418,0
0.109,0.371,0.52,0.137,0.606,0.269,0.352,0
0.94,0.025,0.035,0.987,0.013,0.049,0.617,0
0.33,0.641,0.029,0.746,0.232,0.183,0.339,0
0.142,0.809,0.049,0.16,0.819,0.17,0.61,0
0.034,0.497,0.469,0.202,0.682,0.862,0.035,1
0.982,0.004,0.014,0.745,0.242,0.07,0.572,0
0.065,0.882,0.053,0.852,0.124,0.229,0.216,0
0.23,0.574,0.196,0.711,0.271,0.207,0.539,0
0.029,0.524,0.447,0.008,0.893,0.092,0.565,0
0.204,0.744,0.052,0.288,0.616,0.232,0.296,0
