@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0.473837,0.492779,0.572285,0
0.00348,0,0,0.001161,0,0.551056,0.580459,0.672025,0
0.006989,0,0,0.003765,0,0.792195,0.833179,0.975482,2
0,0,0,0.009836,0,0.773994,0.811387,0.949458,2
0.004065,0,0.001357,0.020353,0,0.490489,0.508875,0.590292,1
0,0,0,0,0,0.373088,0.388003,0.441944,0
0.002577,0,0,0.002581,0,0.530707,0.555533,0.644870,0
0.013431,0,0,0.005498,0,0.683818,0.718621,0.839216,0
0,0,0,0.006289,0,0.570267,0.597012,0.693009,0
0,0,0,0.008949,0,0.245839,0.249116,0.278085,0
0,0,0,0.010638,0,0.389038,0.404111,0.463726,0
0.00313,0,0,0.009404,0,0.538580,0.562327,0.651344,0
0,0,0,0.00229,0,0.822968,0.866075,1.013314,0
0,0,0,0.019231,0,0.620058,0.647595,0.755452,0
0,0,0,0.006623,0,0.391428,0.404880,0.462096,0
0,0,0,0,0,0.592784,0.622794,0.721646,0
0,0,0,0.009188,0,0.618547,0.645715,0.752586,0
0,0,0,0.001381,0,0.757066,0.795870,0.929636,0
0,0,0,0.0181,0,0.688632,0.718876,0.839612,0
0,0,0,0.014787,0,0.272527,0.277228,0.306338,1
0,0,0,0.012903,0,0.538359,0.558028,0.650693,1
0,0,0,0.006182,0,0.602048,0.629691,0.732692,0
0.00414,0,0,0.001775,0,0.760834,0.800808,0.935230,1
0,0,0,0.02439,0,0.650376,0.676129,0.789768,0
0,0,0,0.012658,0,0.265702,0.268115,0.296156,0
0,0,0,0.010101,0,0.254635,0.264038,0.296393,0
0,0,0,0.003279,0,0.625115,0.655015,0.763750,0
0,0,0,0.003494,0,0.740929,0.778517,0.909359,1
0,0,0,0.015152,0,0.680977,0.712361,0.831796,0
0,0,0,0.013308,0,0.322056,0.330199,0.373516,0
0,0,0,0.008475,0,0.487442,0.504967,0.588471,0
0,0,0,0.010101,0,0.549973,0.573345,0.665226,0
0.00534,0,0,0.003562,0,0.798071,0.839425,0.982362,1
0,0,0,0.030303,0,0.673219,0.700524,0.817988,0
0,0,0,0.003795,0,0.322530,0.329388,0.368992,0
0.026144,0,0,0.006579,0,0.058373,0.067243,0.059672,2
0.008905,0,0,0.000891,0,0.373746,0.391161,0.452472,2
0.001359,0,0,0.00136,0,0.765645,0.804905,0.940696,2
0,0,0,0.011561,0,0.573532,0.595143,0.692164,0
0,0,0,0.010435,0,0.274449,0.277095,0.306741,0
0,0,0,0,0,0.490769,0.507840,0.588968,2
0,0,0,0.002595,0,0.569240,0.594573,0.692139,1
0,0,0,0.000824,0,0.740564,0.778968,0.907892,1
0,0,0,0.038462,0,0.539342,0.556331,0.648166,0
0,0,0,0.021201,0,0.289314,0.290566,0.324874,0
0,0,0,0.010204,0,0.411501,0.423778,0.489891,1
0.005525,0,0,0.006916,0,0.461787,0.480154,0.556411,0
0.021898,0,0,0.002435,0,0.644691,0.677344,0.789947,0
0,0,0,0.023529,0,0.469403,0.485242,0.560608,0
0,0,0,0.007968,0,0.302577,0.309296,0.348109,0
0,0,0,0.005181,0,0.607649,0.636546,0.743741,0
0,0,0,0.008596,0,0.569079,0.594060,0.688748,0
0,0,0,0.00225,0,0.839493,0.883210,1.033892,0
0,0,0,0,0,0.682862,0.717739,0.838247,0
0,0,0,0.009766,0,0.282564,0.287500,0.320234,0
0,0,0,0.007143,0,0.349439,0.361311,0.414579,0
0.008172,0,0,0.00818,0,0.413201,0.428646,0.490841,0
0,0,0,0.003509,0,0.810554,0.852319,0.997296,0
0,0,0,0.023256,0,0.586575,0.607484,0.709046,0
0.002028,0,0,0.020325,0,0.241596,0.241998,0.267380,0
0,0,0,0.035398,0,0.334633,0.343297,0.395092,0
0.012563,0,0,0.005031,0,0.537559,0.561234,0.653763,0
0,0,0,0.001618,0,0.773344,0.813717,0.950031,0
0,0,0,0.027933,0,0.658933,0.685021,0.798468,0
0,0,0,0.014925,0,0.363983,0.371462,0.423863,0
0,0,0,0,0,0.360861,0.374133,0.431874,0
0,0,0,0,0,0.535735,0.559664,0.648778,0
0.001966,0,0,0.00295,0,0.777163,0.817421,0.956197,2
0,0,0,0.022727,0,0.631077,0.656589,0.766454,0
0,0,0,0.016097,0,0.304220,0.311366,0.354672,0
0,0,0,0.007937,0,0.467550,0.487770,0.560280,0
0,0,0,0.007307,0,0.566190,0.590318,0.687967,0
0.040695,0,0,0.001372,0,0.276124,0.294834,0.335507,1
0.106742,0,0,0,0,0.031042,0.041846,0.031219,0
0.021452,0,0,0,0,0.043183,0.058317,0.044769,0
0.175573,0,0,0,0,0.093119,0.095914,0.100006,0
0.047927,0,0.001297,0.003891,0,0.350257,0.366730,0.421184,1
0.016473,0,0,0.002908,0,0.681739,0.717671,0.838255,2
0.030303,0,0,0.006098,0,0.468361,0.490354,0.568878,0
0.005979,0,0,0.022455,0,0.164824,0.169396,0.179255,0
0.08982,0.006024,0,0,0,0.209162,0.217746,0.242531,1
0.057971,0,0,0.001613,0,0.287316,0.304477,0.345071,0
