@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.006,0.374,0.62,0.273,0.31,0.233,0.291,2
0.007,0.539,0.454,0.087,0.595,0.499,0.32,1
0.006,0.8,0.194,0.349,0.446,0.364,0.405,1
0.337,0.572,0.091,0.142,0.55,0.203,0.326,1
0.03,0.765,0.205,0.341,0.515,0.234,0.329,1
0.017,0.375,0.608,0.02,0.164,0.234,0.294,1
0.028,0.492,0.48,0.042,0.405,0.142,0.559,2
0.01,0.087,0.903,0.039,0.673,0.162,0.507,2
0.545,0.273,0.182,0.691,0.191,0.203,0.334,2
0.005,0.51,0.486,0.181,0.726,0.217,0.417,1
0.207,0.72,0.072,0.795,0.155,0.195,0.353,1
0.006,0.197,0.797,0.096,0.269,0.228,0.314,2
0.005,0.623,0.372,0.002,0.798,0.102,0.45,1
0.054,0.784,0.162,0.005,0.944,0.128,0.526,1
0.011,0.793,0.196,0.023,0.368,0.189,0.323,2
0.046,0.674,0.28,0.175,0.493,0.027,0.864,1
0.056,0.745,0.199,0.091,0.59,0.149,0.401,1
0.5,0.452,0.048,0.11,0.85,0.13,0.555,1
0,0.819,0.181,0.042,0.647,0.237,0.325,1
0.004,0.091,0.904,0.002,0.207,0.192,0.404,2
0.004,0.392,0.603,0.112,0.299,0.23,0.297,2
0.088,0.67,0.243,0.834,0.147,0.231,0.404,1
0.49,0.384,0.126,0.13,0.802,0.195,0.362,1
0.185,0.456,0.359,0.28,0.542,0.239,0.377,1
0.019,0.831,0.15,0.499,0.453,0.255,0.29,2
0.194,0.592,0.214,0.656,0.276,0.182,0.499,1
0.064,0.017,0.919,0.203,0.381,0.244,0.304,2
0.011,0.79,0.198,0.484,0.401,0.228,0.485,1
0.083,0.733,0.184,0.039,0.856,0.176,0.435,1
0.051,0.72,0.229,0.13,0.721,0.161,0.595,1
0.234,0.316,0.449,0.375,0.526,0.223,0.438,1
0.012,0.739,0.249,0.05,0.421,0.217,0.307,2
0.008,0.53,0.462,0.279,0.633,0.715,0.122,1
0.382,0.575,0.043,0.427,0.518,0.368,0.394,1
0.025,0.82,0.155,0.015,0.785,0.193,0.471,1
0.078,0.781,0.141,0.077,0.678,0.236,0.49,1
0.036,0.869,0.095,0.22,0.644,0.156,0.304,1
0.131,0.845,0.024,0.033,0.86,0.257,0.466,1
0.232,0.571,0.196,0.324,0.501,0.506,0.309,2
0.063,0.673,0.264,0.231,0.488,0.177,0.271,1
0.126,0.833,0.042,0.039,0.88,0.204,0.671,1
0.405,0.459,0.136,0.179,0.67,0.143,0.576,1
0.335,0.589,0.077,0.332,0.569,0.141,0.503,1
0.17,0.031,0.799,0.068,0.295,0.204,0.423,2
0.028,0.707,0.264,0.494,0.035,0.204,0.319,2
0.258,0.61,0.132,0.063,0.857,0.32,0.424,2
0.533,0.393,0.074,0.341,0.528,0.213,0.31,1
0.627,0.34,0.034,0.382,0.488,0.258,0.489,1
0.113,0.771,0.117,0.099,0.786,0.268,0.469,0
0.552,0.17,0.278,0.64,0.32,0.562,0.217,0
0.523,0.331,0.146,0.589,0.355,0.256,0.481,0
0.108,0.796,0.097,0.729,0.265,0.157,0.539,0
0.252,0.705,0.043,0.015,0.955,0.36,0.408,0
0.275,0.703,0.021,0.009,0.976,0.087,0.644,0
0.443,0.411,0.146,0.54,0.343,0.433,0.347,0
0.798,0.019,0.183,0.492,0.432,0.897,0.039,0
0.298,0.306,0.396,0.379,0.394,0.253,0.42,0
0.25,0.516,0.234,0.081,0.668,0.195,0.309,0
0.178,0.791,0.031,0.923,0.075,0.724,0.115,0
0.164,0.547,0.289,0.024,0.9,0.472,0.335,0
0.766,0.22,0.014,0.909,0.081,0.288,0.29,0
0.172,0.657,0.171,0.511,0.459,0.364,0.396,0
0.154,0.757,0.089,0.776,0.196,0.607,0.237,0
0.086,0.789,0.125,0.592,0.379,0.098,0.634,0
0.303,0.433,0.265,0.686,0.282,0.383,0.39,0
0.865,0.017,0.117,0.556,0.264,0.838,0.061,0
