@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.073,0.308,0.619,0.162,0.376,2
0.059,0.576,0.365,0.157,0.693,1
0.131,0.796,0.073,0.482,0.364,1
0.273,0.5,0.227,0.12,0.584,1
0.061,0.62,0.319,0.426,0.473,1
0.032,0.38,0.588,0.006,0.143,1
0.077,0.557,0.365,0.067,0.322,2
0.037,0.073,0.89,0.065,0.619,2
0.138,0.619,0.243,0.394,0.287,2
0.064,0.343,0.593,0.22,0.697,1
0.302,0.65,0.048,0.789,0.164,1
0.05,0.337,0.612,0.038,0.284,2
0.003,0.423,0.574,0.017,0.759,1
0.009,0.801,0.19,0.171,0.773,1
0.075,0.368,0.557,0.005,0.31,2
0.143,0.657,0.2,0.212,0.475,1
0.066,0.728,0.206,0.048,0.613,1
0.17,0.75,0.079,0.78,0.211,1
0.007,0.792,0.201,0.019,0.684,1
0.015,0.121,0.864,0.019,0.332,2
0.018,0.296,0.687,0.092,0.325,2
0.271,0.584,0.145,0.553,0.318,1
0.383,0.461,0.157,0.11,0.806,1
0.349,0.4,0.251,0.448,0.424,1
0.023,0.889,0.088,0.469,0.468,2
0.041,0.039,0.921,0.137,0.447,2
0.05,0.858,0.093,0.459,0.371,1
0.066,0.779,0.155,0.091,0.77,1
0.016,0.828,0.156,0.34,0.436,1
0.573,0.32,0.106,0.155,0.692,1
0.033,0.6,0.366,0.028,0.354,2
0.054,0.742,0.205,0.258,0.7,1
0.03,0.864,0.105,0.244,0.562,1
0.531,0.401,0.068,0.477,0.473,1
0.009,0.834,0.157,0.022,0.765,1
0.093,0.702,0.205,0.149,0.618,1
0.076,0.842,0.082,0.265,0.63,1
0.09,0.853,0.057,0.284,0.663,1
0.489,0.418,0.093,0.498,0.384,2
0.09,0.718,0.192,0.153,0.573,1
0.056,0.872,0.072,0.317,0.609,1
0.294,0.6,0.106,0.162,0.676,1
0.165,0.74,0.095,0.531,0.403,1
0.459,0.038,0.503,0.044,0.423,2
0.058,0.662,0.28,0.097,0.115,2
0.101,0.764,0.135,0.464,0.496,2
0.336,0.516,0.148,0.19,0.648,1
0.461,0.474,0.065,0.462,0.456,1
0.854,0.015,0.13,0.784,0.186,0
0.222,0.053,0.725,0.765,0.203,0
0.629,0.236,0.135,0.88,0.042,0
0.639,0.162,0.199,0.52,0.131,0
0.772,0.1,0.127,0.887,0.108,0
0.223,0.711,0.066,0.83,0.163,0
0.148,0.715,0.137,0.407,0.361,0
0.011,0.797,0.192,0.147,0.717,0
0.555,0.281,0.164,0.627,0.352,0
0.059,0.888,0.054,0.658,0.235,0
0.136,0.842,0.022,0.982,0.018,0
0.012,0.161,0.827,0.001,0.047,0
0.198,0.704,0.098,0.089,0.668,0
0.409,0.526,0.065,0.14,0.654,0
0.369,0.51,0.122,0.847,0.143,0
0.652,0.296,0.052,0.864,0.133,0
0.846,0.047,0.107,0.797,0.2,0
0.476,0.185,0.339,0.792,0.169,0
0.323,0.578,0.099,0.754,0.216,0
0.104,0.831,0.065,0.79,0.208,0
