@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,10,1.097733,0
3,12,1.541794,2
5,16,1.282714,1
1,2,0.90666,0
2,8,0.98857,0
3,12,1.357813,0
4,2,0.916151,0
5,8,0.780193,0
2,8,0.814012,0
3,5,1.086814,0
5,7,0.94353,1
3,8,1.402233,1
5,7,0.964034,0
1,2,0.824979,0
2,8,1.166437,0
3,12,1.424112,1
5,7,0.916075,0
3,8,1.863014,1
1,2,1.256255,2
2,8,1.429546,2
3,7,1.220739,2
5,7,1.002609,0
2,11,1.473059,1
3,9,1.00626,1
5,6,0.986275,0
2,8,0.921648,0
3,6,1.022006,0
4,2,0.97776,0
1,2,1.153337,0
2,14,1.246336,0
5,6,0.857343,0
1,2,0.932798,0
2,8,1.013507,0
3,7,1.025652,0
3,12,1.686658,2
3,9,1.81329,1
4,2,1.017692,0
5,7,1.054042,0
1,2,1.073289,0
2,8,0.982718,1
3,10,1.710691,2
4,2,0.946955,0
5,7,1.163165,0
1,2,1.365707,1
2,8,0.790856,0
3,7,1.326155,1
4,2,1.029101,0
5,7,0.843095,1
2,10,2.007421,0
3,5,0.721669,0
4,2,1.086147,0
5,7,1.141271,0
1,2,0.90666,0
3,7,1.074051,0
4,1,0.916151,0
5,7,0.959516,0
1,2,0.988341,0
2,8,0.706376,0
3,2,0.698133,0
2,8,0.944803,0
3,18,1.951193,1
5,10,2.07368,2
1,2,0.90666,0
2,8,0.85727,0
3,8,0.753825,0
4,2,0.994874,0
5,7,1.148917,0
1,2,0.790673,0
2,8,1.272291,0
1,2,0.844582,0
2,8,1.04048,0
3,3,0.82029,0
4,2,1.176278,0
5,7,1.013382,0
1,2,1.698966,2
2,8,0.650395,0
3,5,0.892225,0
4,2,0.895615,0
1,2,0.702457,0
2,8,0.689582,0
3,7,1.042725,0
4,2,0.974337,0
2,9,0.972794,1
3,5,0.942115,1
4,2,1.026819,0
5,7,0.822939,0
1,2,1.003043,0
2,8,0.752179,0
3,2,0.572993,0
4,2,0.996015,0
5,8,0.939359,0
2,8,0.975338,1
3,6,0.99532,2
2,10,1.056002,1
3,7,1.204827,0
1,2,0.963837,0
2,8,1.231323,0
3,7,1.341735,2
5,7,0.987318,0
1,2,0.873987,0
1,2,0.875621,0
3,7,0.746863,0
4,2,1.063328,0
5,7,0.790619,0
2,8,1.325219,0
1,2,1.024281,1
2,9,0.694925,0
3,10,1.104715,1
4,3,1.197956,0
1,2,1.045518,1
2,8,0.698488,0
3,6,1.087974,0
4,2,0.903601,0
2,8,0.918849,0
3,9,1.042227,0
5,7,0.983147,0
3,5,0.89007,0
5,7,0.888621,0
1,2,0.981806,0
2,8,0.782968,0
3,8,1.049354,0
1,2,1.063487,0
3,7,0.854268,0
1,2,1.290561,0
2,8,0.610954,0
3,8,0.767913,0
5,7,0.921288,0
1,2,1.582979,1
2,8,0.718845,0
3,6,0.832058,0
1,2,0.962203,0
2,13,1.328018,0
3,7,0.874987,0
4,2,1.233324,0
5,7,1.040489,0
1,2,1.368975,1
2,11,1.043279,0
3,5,0.664155,0
4,2,1.057624,0
5,7,0.945267,0
1,2,0.985074,0
2,8,0.873555,0
3,5,0.785648,0
1,2,0.950768,0
2,8,0.679658,0
3,8,0.710399,0
5,7,1.115207,0
1,2,0.944233,0
2,8,0.655484,0
3,7,1.086814,0
5,7,0.936579,0
2,8,0.797472,0
5,7,1.000176,1
1,2,0.860918,0
2,12,1.405627,0
3,10,1.260352,1
5,9,1.348743,1
1,2,0.875621,0
2,8,0.739965,0
3,2,0.58012,0
1,2,0.945867,0
2,8,0.921902,0
3,7,0.897032,1
4,2,0.912728,0
5,7,0.894529,0
3,5,1.168528,0
4,2,1.080442,0
2,8,1.139718,0
3,4,0.760455,0
4,2,0.934405,0
5,7,0.974807,0
2,8,0.865413,0
1,2,0.841315,0
2,8,0.687801,0
5,7,0.961948,1
2,8,0.774062,0
3,3,0.7041,0
4,2,0.982324,0
5,7,1.206953,0
1,2,0.808643,0
2,8,1.083738,0
3,5,0.643105,0
4,2,1.007424,0
5,7,0.863251,0
5,7,0.95048,2
2,10,1.281197,0
3,7,1.069244,0
5,7,1.038751,0
3,6,0.94974,0
2,8,0.888568,0
3,4,1.240297,1
4,2,0.848837,0
5,7,0.990098,0
1,2,0.893591,0
2,8,0.75396,0
3,7,0.856092,0
4,2,0.922996,0
1,2,0.823345,0
2,8,0.675841,0
3,3,0.584264,0
4,2,0.998296,0
5,7,1.109646,1
1,2,0.996509,0
2,9,0.937933,1
3,5,0.802223,0
5,8,2.095922,0
2,10,1.275854,0
3,5,0.903164,1
2,8,0.687037,0
3,4,0.618574,0
5,7,0.90843,0
2,8,0.997476,2
3,8,1.315381,2
4,2,1.089569,0
5,7,1.01234,2
2,8,0.913505,0
3,7,0.993166,1
5,7,0.87611,1
