@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.019,0.377,0.603,0.033,0.404,2
0.033,0.547,0.42,0.051,0.681,1
0.101,0.743,0.155,0.329,0.64,1
0.208,0.66,0.132,0.018,0.708,1
0.025,0.778,0.198,0.043,0.683,1
0.026,0.354,0.62,0.001,0.223,1
0.291,0.366,0.343,0.017,0.287,2
0.143,0.084,0.773,0.016,0.646,2
0.14,0.588,0.272,0.028,0.719,2
0.02,0.523,0.456,0.109,0.753,1
0.191,0.758,0.052,0.445,0.444,1
0.038,0.249,0.714,0.006,0.412,2
0.084,0.573,0.343,0.002,0.748,1
0.273,0.674,0.053,0.42,0.543,1
0.023,0.779,0.198,0.001,0.412,2
0.282,0.521,0.197,0.081,0.585,1
0.088,0.764,0.148,0.028,0.659,1
0.582,0.375,0.043,0.95,0.047,1
0.005,0.807,0.189,0.004,0.746,1
0.029,0.13,0.84,0,0.244,2
0.101,0.352,0.547,0.027,0.262,2
0.114,0.68,0.206,0.056,0.815,1
0.297,0.535,0.168,0.163,0.82,1
0.504,0.307,0.189,0.559,0.364,1
0.056,0.837,0.107,0.068,0.894,2
0.182,0.582,0.235,0.666,0.275,1
0.082,0.038,0.88,0.021,0.614,2
0.133,0.701,0.167,0.816,0.148,1
0.229,0.67,0.101,0.091,0.821,1
0.208,0.714,0.078,0.541,0.398,1
0.569,0.228,0.203,0.246,0.665,1
0.04,0.691,0.268,0.004,0.502,2
0.103,0.503,0.394,0.032,0.75,1
0.131,0.691,0.177,0.05,0.634,1
0.407,0.547,0.045,0.801,0.175,1
0.114,0.821,0.065,0.026,0.705,1
0.189,0.707,0.104,0.043,0.679,1
0.104,0.845,0.051,0.362,0.596,1
0.232,0.749,0.019,0.227,0.71,1
0.116,0.658,0.226,0.033,0.659,1
0.225,0.752,0.022,0.382,0.549,1
0.476,0.429,0.095,0.133,0.693,1
0.314,0.626,0.06,0.54,0.424,1
0.161,0.042,0.796,0.093,0.091,2
0.041,0.702,0.258,0.117,0.08,2
0.472,0.442,0.085,0.671,0.304,2
0.25,0.649,0.101,0.109,0.748,1
0.638,0.33,0.032,0.54,0.362,1
0.648,0.279,0.073,0.936,0.063,0
0.646,0.178,0.176,0.252,0.645,0
0.935,0.019,0.045,0.836,0.084,0
0.309,0.68,0.011,0.842,0.151,0
0.193,0.32,0.488,0.031,0.567,0
0.022,0.91,0.068,0.251,0.515,0
0.731,0.14,0.129,0.858,0.136,0
0.893,0.075,0.032,0.351,0.553,0
0.545,0.159,0.295,0.321,0.342,0
0.853,0.084,0.063,0.917,0.08,0
0.685,0.149,0.166,0.129,0.826,0
0.188,0.096,0.716,0.01,0.769,0
0.687,0.203,0.11,0.368,0.603,0
0.259,0.693,0.049,0.891,0.103,0
0.62,0.281,0.1,0.165,0.644,0
0.334,0.606,0.06,0.681,0.291,0
0.19,0.783,0.028,0.834,0.051,0
0.419,0.547,0.034,0.8,0.194,0
0.425,0.251,0.324,0.824,0.165,0
0.713,0.235,0.052,0.442,0.519,0
