@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.033,0.317,0.65,0.128,0.331,0.165,0.302,2
0.041,0.5,0.459,0.069,0.54,0.267,0.543,1
0.137,0.688,0.175,0.449,0.424,0.512,0.286,1
0.074,0.685,0.241,0.078,0.578,0.162,0.356,1
0.018,0.764,0.219,0.506,0.384,0.202,0.342,1
0.025,0.325,0.65,0.013,0.198,0.168,0.305,1
0.059,0.45,0.492,0.007,0.348,0.225,0.569,2
0.016,0.075,0.909,0.02,0.677,0.179,0.567,2
0.094,0.558,0.348,0.771,0.163,0.167,0.366,2
0.015,0.502,0.482,0.045,0.692,0.22,0.444,1
0.185,0.722,0.093,0.884,0.09,0.171,0.392,1
0.028,0.167,0.805,0.057,0.294,0.18,0.331,2
0.002,0.605,0.393,0.001,0.809,0.1,0.576,1
0.012,0.816,0.172,0.021,0.92,0.028,0.824,1
0.011,0.773,0.216,0.005,0.348,0.142,0.355,2
0.092,0.609,0.298,0.142,0.542,0.008,0.927,1
0.028,0.772,0.199,0.048,0.578,0.1,0.502,1
0.209,0.715,0.076,0.202,0.778,0.192,0.597,1
0.004,0.808,0.188,0.031,0.656,0.204,0.335,1
0.006,0.089,0.905,0.001,0.226,0.182,0.433,2
0.018,0.394,0.588,0.041,0.323,0.16,0.293,2
0.062,0.695,0.243,0.927,0.067,0.241,0.417,1
0.544,0.357,0.099,0.205,0.72,0.179,0.395,1
0.364,0.322,0.315,0.414,0.451,0.235,0.384,1
0.05,0.844,0.106,0.464,0.475,0.193,0.294,2
0.139,0.55,0.311,0.419,0.403,0.213,0.538,1
0.017,0.031,0.951,0.179,0.432,0.193,0.311,2
0.096,0.736,0.168,0.215,0.622,0.357,0.426,1
0.068,0.749,0.183,0.048,0.819,0.085,0.646,1
0.046,0.786,0.168,0.213,0.659,0.34,0.514,1
0.601,0.173,0.226,0.192,0.597,0.234,0.461,1
0.018,0.716,0.266,0.02,0.415,0.164,0.323,2
0.109,0.452,0.439,0.124,0.687,0.711,0.049,1
0.059,0.72,0.222,0.093,0.707,0.157,0.459,1
0.288,0.643,0.07,0.347,0.533,0.484,0.293,1
0.007,0.857,0.136,0.018,0.718,0.059,0.763,1
0.057,0.743,0.2,0.043,0.702,0.364,0.425,1
0.061,0.887,0.052,0.204,0.675,0.099,0.346,1
0.088,0.875,0.036,0.079,0.825,0.359,0.399,1
0.351,0.475,0.173,0.48,0.422,0.619,0.185,2
0.12,0.667,0.213,0.066,0.567,0.099,0.295,1
0.039,0.89,0.071,0.114,0.805,0.271,0.541,1
0.261,0.542,0.197,0.038,0.788,0.134,0.643,1
0.254,0.676,0.07,0.297,0.62,0.062,0.418,1
0.093,0.025,0.882,0.034,0.169,0.208,0.457,2
0.032,0.694,0.274,0.086,0.054,0.156,0.35,2
0.15,0.667,0.183,0.138,0.797,0.487,0.305,2
0.277,0.609,0.114,0.128,0.635,0.161,0.328,1
0.388,0.553,0.059,0.226,0.638,0.459,0.364,1
0.251,0.693,0.056,0.768,0.174,0.17,0.318,0
0.043,0.918,0.039,0.034,0.959,0.191,0.588,0
0.722,0.071,0.207,0.337,0.368,0.466,0.333,0
0.482,0.14,0.378,0.842,0.065,0.334,0.294,0
0.937,0.012,0.051,0.617,0.316,0.482,0.12,0
0.054,0.075,0.871,0.363,0.444,0.298,0.391,0
0.139,0.736,0.125,0.282,0.499,0.184,0.342,0
0.318,0.628,0.054,0.778,0.206,0.297,0.343,0
0.648,0.339,0.013,0.665,0.298,0.157,0.366,0
0.555,0.319,0.127,0.351,0.494,0.212,0.295,0
0.174,0.793,0.033,0.32,0.613,0.153,0.324,0
0.138,0.527,0.334,0.137,0.781,0.459,0.277,0
0.805,0.03,0.166,0.351,0.596,0.357,0.155,0
0.705,0.111,0.184,0.38,0.473,0.318,0.408,0
0.656,0.083,0.261,0.18,0.649,0.184,0.357,0
0.712,0.106,0.183,0.334,0.572,0.524,0.197,0
0.039,0.606,0.355,0.193,0.677,0.33,0.321,0
0.907,0.009,0.084,0.54,0.383,0.5,0.085,0
