@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0.010969,0,0.278091,0.281831,0.314860,0
0,0,0,0.008403,0,0.461463,0.476549,0.551024,2
0.001348,0,0,0.00135,0,0.474340,0.498994,0.574552,0
0.000425,0,0,0.003825,0,0.752881,0.791419,0.919215,1
0,0,0,0.023148,0,0.555101,0.576086,0.669173,2
0.030176,0,0,0.006711,0,0.370531,0.383002,0.437354,2
0,0,0,0.027523,0,0.243098,0.238475,0.267030,0
0,0,0,0.008929,0,0.510146,0.530497,0.611583,0
0.044004,0,0,0.001101,0,0.520925,0.549187,0.633241,0
0.074713,0,0,0.046243,0,0.393526,0.401021,0.459451,0
0.007564,0,0,0.015152,0,0.324940,0.334025,0.375706,0
0.041667,0,0,0.010526,0,0.202567,0.203967,0.222028,0
0.004004,0,0,0.003006,0,0.665404,0.698761,0.808961,0
0,0,0,0.00095,0,0.836352,0.881031,1.024217,0
0,0,0,0.037037,0,0.613974,0.637758,0.739037,0
0,0,0,0.010799,0,0.235925,0.233863,0.255892,0
0,0,0,0.019608,0,0.228824,0.232274,0.256990,0
0.013464,0,0,0.007353,0,0.509582,0.532201,0.613890,0
0.017189,0,0,0.001012,0,0.727851,0.767016,0.890979,0
0.038835,0,0,0.009756,0,0.377629,0.395498,0.451949,0
0.013722,0,0,0.024055,0,0.236265,0.233980,0.255415,0
0.038647,0,0,0.009709,0,0.507264,0.532925,0.615296,2
0,0,0,0.007843,0,0.415074,0.430364,0.490054,0
0,0,0,0,0,0.843872,0.889260,1.033909,0
0,0,0,0.032258,0,0.515660,0.536061,0.619574,0
0,0,0,0.023758,0,0.277032,0.279967,0.307927,0
0,0,0,0,0,0.112473,0.113400,0.117325,0
0,0,0,0.007407,0,0.579406,0.607554,0.702649,0
0.007154,0,0,0.001591,0,0.697064,0.734204,0.851270,0
0.017647,0,0,0.023669,0,0.502357,0.519743,0.600318,0
0,0,0,0.03118,0,0.219812,0.214537,0.237695,0
0,0,0,0,0,0.445487,0.461521,0.527365,0
0,0,0,0.007952,0,0.556623,0.581413,0.669536,0
0,0,0,0.002857,0,0.882664,0.929716,1.082441,0
0,0,0,0.019608,0,0.582213,0.604242,0.700229,0
0,0,0,0.013582,0,0.313666,0.315965,0.354063,1
0,0,0,0,0,0.433782,0.450915,0.514670,2
0,0,0,0.003932,0,0.575313,0.601573,0.693345,1
0.007042,0,0,0.002643,0,0.655603,0.690251,0.801737,1
0.027933,0,0,0.033708,0,0.423623,0.435073,0.501872,0
0.023256,0,0,0.004237,0,0.150014,0.162294,0.169146,0
0.04918,0,0,0.016529,0,0.242847,0.249743,0.282750,0
0.00846,0,0,0.001695,0,0.414517,0.440071,0.505351,0
0.002894,0,0,0.001449,0,0.820820,0.865236,1.006107,0
0.011494,0,0,0.034682,0,0.412796,0.424680,0.485637,0
0,0,0,0.014842,0,0.226672,0.225498,0.245795,0
0,0,0,0,0,0.536093,0.559565,0.645264,1
0,0,0,0.007133,0,0.608335,0.635880,0.735745,2
0,0,0,0,0,0.869506,0.915975,1.066118,1
0,0,0,0.025641,0,0.614432,0.638961,0.737745,0
0,0,0,0.017685,0,0.302532,0.304392,0.339407,2
0,0,0,0.019608,0,0.391455,0.397675,0.453195,0
0.005222,0,0,0.005229,0,0.580958,0.607813,0.703240,1
0,0,0,0.00417,0,0.832548,0.875719,1.018968,2
0,0,0,0.028249,0,0.631984,0.658307,0.761372,1
0,0,0,0.012545,0,0.207822,0.206991,0.222837,1
0,0,0,0.008547,0,0.382628,0.393082,0.454953,2
0,0,0,0.001208,0,0.435590,0.453647,0.523005,1
0.020647,0,0,0,0,0.658229,0.694061,0.804365,0
0,0,0,0.012903,0,0.638429,0.665616,0.769367,0
0,0,0,0.017986,0,0.315205,0.317544,0.357681,2
0.119658,0,0,0,0,0.130301,0.132504,0.141527,0
0,0,0,0.003106,0,0.604228,0.634522,0.733143,0
0.00309,0,0,0.004329,0,0.778252,0.818942,0.952185,2
0,0,0,0.016854,0,0.639323,0.665005,0.770578,0
0.021127,0,0,0.010582,0,0.194572,0.199805,0.214187,0
0.018868,0,0,0,0,0.345224,0.360532,0.406584,0
0,0,0,0.002967,0,0.595360,0.622047,0.720060,0
0,0,0,0,0,0.845517,0.890499,1.035801,0
0,0,0,0.034483,0,0.572640,0.593066,0.685945,0
0,0,0,0.028455,0,0.227580,0.225509,0.246165,0
0,0,0,0.028302,0,0.228050,0.227980,0.254138,0
0,0,0,0.011309,0,0.558419,0.581199,0.670234,0
0,0,0,0.003333,0,0.762620,0.801823,0.931125,0
0.016129,0,0,0.043243,0,0.455052,0.469783,0.542108,0
0,0,0,0.02649,0,0.222915,0.221082,0.242726,0
0,0,0,0,0,0.481084,0.502895,0.579573,1
0,0,0,0,0,0.649648,0.681507,0.790510,0
0,0,0,0,0,0.838251,0.883043,1.027077,0
0,0,0,0.028736,0,0.640557,0.667326,0.774997,0
0,0,0,0.021818,0,0.290124,0.290500,0.324943,0
0,0,0,0.008065,0,0.304167,0.322660,0.362976,1
0,0,0,0.00367,0,0.444383,0.460740,0.532072,0
0.012012,0,0.000751,0.001503,0,0.652758,0.687931,0.797277,1
0.009569,0,0,0.019231,0,0.387529,0.400744,0.459570,0
0,0,0,0.022556,0,0.274434,0.278085,0.310999,0
0.007874,0,0,0.007937,0,0.043755,0.045936,0.037928,1
0.038321,0,0,0.003656,0,0.262777,0.281265,0.313556,0
0.04497,0,0,0.000763,0,0.486241,0.513948,0.593374,0
0.006329,0,0,0.012739,0,0.396482,0.416605,0.476109,0
0,0,0,0.026168,0,0.293391,0.295233,0.329384,0
0,0,0,0.023077,0,0.527638,0.546955,0.631890,0
0,0,0,0.009709,0,0.593416,0.619324,0.716708,0
