@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature3 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

1,4,-0.046057,4.007411,0.59291,0
2,10,-0.440688,4.479066,1.098031,0
3,12,0.092127,4.476359,1.525456,2
4,3,0.906286,2.234771,1.749984,2
5,16,0.283345,5.282326,1.283374,1
1,2,-0.032875,4.185434,0.90902,0
2,8,-0.151472,3.717095,0.988839,0
3,12,0.170735,3.710519,1.343424,0
4,2,-0.28529,3.489355,0.915464,0
5,8,0.040973,3.744269,0.780594,0
1,2,-0.142526,3.201368,0.784541,0
2,8,-0.013152,3.451455,0.814233,0
3,5,-0.261522,3.226075,1.075297,0
4,2,0.75245,3.406319,0.897223,0
5,7,0.016583,3.373647,1.053542,0
1,2,-0.453439,4.374485,1.172717,0
2,10,0.063536,4.249956,1.664355,0
3,5,-0.189698,4.079849,0.5948,0
4,2,1.285321,2.899975,1.266601,0
5,7,-0.20941,7.094787,0.944015,1
1,2,0.080034,4.948661,1.282455,1
2,12,-0.160537,4.073898,1.648574,0
3,8,-0.205644,2.717923,1.387374,1
4,2,1.340593,2.743845,0.943966,0
5,7,0.121952,5.802987,0.964529,0
1,2,-0.163256,4.538522,0.827126,0
2,8,-0.006814,3.969727,1.166754,0
3,12,0.109875,4.502463,1.409021,1
4,2,0.89193,2.593907,1.140055,0
5,7,-0.155943,4.498704,0.916546,0
1,2,0.011422,4.491303,0.97781,0
2,12,-0.37783,3.764708,1.262202,0
3,8,0.353406,4.198062,1.843273,1
4,2,1.197869,2.095023,0.951946,0
5,7,0.084986,2.574422,0.919328,0
1,2,-0.232815,4.094864,1.259524,2
2,8,-0.255808,4.251957,1.429935,2
3,7,0.127097,4.352923,1.207803,2
4,2,0.854873,2.638,0.996408,0
5,7,0.009956,4.445478,1.003125,0
1,2,0.03638,4.433939,1.1547,2
2,11,-0.00104,5.38112,1.473459,1
3,9,-0.60243,3.762812,0.995597,1
4,2,1.09728,2.927803,0.751296,0
5,6,0.154677,4.589115,0.986783,0
1,3,0.175963,4.827151,1.621494,1
2,8,-0.008638,4.05231,0.921898,0
3,6,0.024367,4.063057,1.011176,0
4,2,0.287437,4.036506,0.977027,0
5,7,-0.123072,3.97339,0.875865,0
1,2,0.013547,4.870147,1.596926,0
2,8,-0.056102,4.162634,0.890846,0
3,3,0.307867,3.268091,0.730585,0
4,1,-0.23608,2.913419,1.03175,0
5,7,0.008568,4.193045,0.893598,0
1,2,0.077831,3.901367,1.156338,0
2,14,-0.292841,3.400645,1.246675,0
3,4,0.309557,3.462795,0.702543,0
4,2,0.992999,3.147476,0.988428,0
5,6,0.148549,3.393658,0.857785,0
1,2,0.268802,4.657121,0.935225,0
2,8,0.073706,4.515958,1.013783,0
3,7,-0.551595,3.946242,1.014784,0
4,2,1.116552,2.248583,1.02947,0
5,7,-0.001155,3.992876,1.167241,0
1,2,-0.060947,5.127048,1.117029,0
2,8,-0.104149,3.657304,0.719295,0
3,12,0.103884,4.301709,1.668785,2
4,2,1.256537,2.805388,1.013509,0
5,7,-0.193745,4.546815,0.866477,0
1,2,-0.127271,5.909694,1.048239,0
2,10,0.052281,4.665842,1.221732,0
3,9,0.065075,3.57853,1.794075,1
4,2,1.726038,4.217083,1.016929,0
5,7,0.349758,5.32793,1.054585,0
1,2,-0.282519,4.445331,1.076083,0
2,8,-0.195382,5.047678,0.982985,1
3,10,-0.149205,3.350088,1.692564,2
4,2,0.32809,2.916137,0.946246,0
5,7,-0.009528,4.917948,1.163764,0
1,2,-0.277818,3.406422,1.369262,1
2,8,-0.36116,3.649491,0.791071,0
3,7,-0.361721,4.131687,1.312102,1
4,2,0.665858,4.009388,1.02833,0
5,7,0.004748,3.817433,0.843529,1
1,2,0.042799,3.68073,0.989275,0
2,10,0.057469,3.258206,2.007967,0
3,5,-0.403206,2.917086,0.714022,0
4,2,0.62472,3.016237,1.085332,0
5,7,-0.019634,4.000689,1.141858,0
1,2,0.071029,3.670158,0.90902,0
2,8,-0.091109,3.442497,0.873284,0
3,7,-0.430852,3.438863,1.06267,0
4,1,1.023533,3.169606,0.915464,0
5,7,0.099571,3.850844,0.960009,0
1,2,0.414888,3.685902,0.990913,0
2,8,-0.031347,3.455159,0.706568,0
3,2,0.016333,3.377466,0.690735,0
4,2,0.442573,3.455691,0.901783,0
5,7,-0.113621,3.414336,0.953751,0
1,2,-0.145349,4.574408,0.986,2
2,8,-0.053105,4.94207,0.94506,0
3,18,0.234595,4.223454,1.930517,1
4,2,0.607439,3.862416,1.2381,2
5,10,-0.096584,4.426974,2.074747,2
1,2,0.426579,3.953887,0.90902,0
2,8,0.103014,3.422389,0.857503,0
3,8,-0.55713,3.185894,0.745837,0
4,2,1.144368,1.627654,0.994128,0
5,7,-0.10043,3.561084,1.149508,0
1,2,-0.064363,3.706473,0.792731,0
2,8,-0.16526,3.358486,1.272637,0
3,5,-0.508232,2.965272,0.864731,0
4,2,0.615197,3.045249,0.931425,0
5,7,0.168932,4.206562,0.807368,0
1,2,-0.222063,3.909108,0.84678,0
2,8,-0.051539,3.368784,1.040763,0
3,3,-0.24317,3.104877,0.811598,0
4,2,0.38199,3.488715,1.175397,0
5,7,0.063883,3.58635,1.013903,0
1,2,0.07678,3.784312,1.703388,2
2,8,0.115364,4.840624,0.650572,0
3,5,-0.464484,2.41161,0.88277,0
4,2,0.467076,3.247011,0.894943,0
5,7,-0.074416,5.288506,0.807368,0
1,2,-0.664974,3.647504,0.704285,0
2,8,-0.181012,3.439014,0.689769,0
3,7,-0.49615,3.92146,1.031675,0
4,2,1.224945,2.781845,0.973607,0
5,7,0.233234,4.158115,0.783376,0
1,2,-0.17055,3.74833,0.784541,0
2,8,-0.293935,3.763955,0.641918,0
3,2,0.159708,3.395909,0.575449,0
4,2,0.196718,3.314387,0.882403,0
5,7,0.120104,3.773922,1.026768,1
1,2,-0.254526,4.972385,0.827126,2
2,9,-0.38151,4.623354,0.973058,1
3,5,0.518983,4.459865,0.932132,1
4,2,1.161504,1.857721,1.026049,0
5,7,-0.212385,4.915703,0.823362,0
1,2,-0.65602,4.892608,1.005654,0
2,8,-0.176254,5.179627,0.752383,0
3,2,-0.382317,1.596783,0.566921,0
4,2,0.698922,2.224549,0.995268,0
5,8,0.122661,4.657423,0.939843,0
1,2,-0.026514,3.659692,1.187458,1
2,8,-0.187858,3.389889,0.8939,2
3,2,-0.053719,3.511417,0.506244,1
4,2,0.829756,3.68832,0.900643,0
5,7,0.011575,3.691581,1.083792,2
1,2,0.396272,4.929609,0.850056,0
2,8,0.053926,4.360455,0.975604,1
3,6,0.19589,5.654631,0.984773,2
4,2,0.564668,4.000085,1.018069,1
5,7,-0.236352,4.20734,0.973222,1
1,2,0.242624,5.033199,0.972897,2
2,10,-0.114853,3.864322,1.056289,1
3,7,-0.591415,3.093536,1.19206,0
4,2,0.524672,2.796639,0.892663,0
5,7,0.250001,5.78014,0.969745,2
1,2,-0.335751,3.066823,0.966345,0
2,8,-0.150114,3.570451,1.231658,0
3,7,0.34776,3.586543,1.327517,2
4,2,1.101068,3.510934,1.023769,0
5,7,-0.21559,4.149177,0.987826,0
1,2,-0.761086,3.176732,0.876262,0
2,8,0.048259,4.109473,0.859285,0
3,5,-0.356694,3.447432,1.04709,0
4,2,0.459249,2.539034,0.83794,0
5,7,0.117024,4.292822,0.858828,0
1,2,-0.255777,3.995587,0.8779,0
2,8,-0.028734,3.585036,0.789544,0
3,7,-0.189227,3.620939,0.738949,0
4,2,1.219914,3.050896,1.062531,0
5,7,-0.070266,3.83573,0.791025,0
1,2,-0.356086,4.666383,1.051514,1
2,8,-0.106791,3.797649,1.325579,0
3,7,-0.177035,4.185738,1.358184,0
4,2,0.585846,2.846119,0.998688,0
5,7,0.118616,4.594128,0.958966,0
1,2,0.190101,6.251011,1.026946,1
2,9,-0.021415,4.564996,0.695114,0
3,10,0.27467,4.219458,1.093008,1
4,3,0.360173,3.188565,1.197058,0
5,2,-0.449741,3.442915,0.233657,0
1,2,0.229805,4.541616,1.048239,1
2,8,-0.077447,3.995826,0.698678,0
3,6,0.083219,3.931977,1.076445,0
4,2,0.456451,3.601488,0.902924,0
5,7,0.020201,3.859473,0.933584,0
1,2,0.151508,4.552163,1.080996,0
2,8,0.062763,3.765315,0.919099,0
3,9,0.109667,3.667449,1.031183,0
4,2,1.02177,3.85117,0.939405,0
5,7,-0.243181,4.448673,0.983653,0
1,2,0.142336,3.503729,0.915571,1
2,8,-0.299438,3.612764,0.661517,0
3,5,0.194375,3.758382,0.880638,0
4,2,0.70115,3.570433,0.860742,0
5,7,0.031527,3.635125,0.889078,0
1,2,0.07594,5.252722,0.984362,0
2,8,0.242951,3.371703,0.783181,0
3,8,0.152807,3.417787,1.038235,0
4,2,0.78318,2.790591,1.134355,0
5,7,-0.324323,4.188991,1.079967,0
1,2,0.123367,5.794505,1.066255,0
2,8,0.122898,3.788628,0.726421,0
3,7,0.06598,3.754747,0.845216,0
4,2,0.974654,4.479473,1.052271,0
5,7,-0.232274,4.006843,1.157157,0
1,2,-0.001936,5.865826,0.797644,0
2,8,-0.188553,4.783542,0.85394,1
3,8,0.328242,4.19326,1.550875,2
4,3,0.294296,3.476314,1.087612,0
5,7,-0.050644,5.160203,0.986783,1
1,2,0.378178,5.853308,1.29392,0
2,8,0.01649,3.704572,0.61112,0
3,8,0.340019,3.672899,0.759776,0
4,2,0.473565,3.573718,0.889243,0
5,7,-0.246363,5.855324,0.921762,0
1,2,0.453969,5.325631,1.587099,1
2,8,0.323343,3.483463,0.71904,0
3,6,-0.109163,4.185694,0.823241,0
4,2,1.14558,2.64082,1.128654,0
5,7,-0.374895,5.071835,1.084835,0
1,2,0.083163,5.18147,0.964707,0
2,13,0.118453,6.312105,1.328379,0
3,7,0.060183,4.034402,0.865715,0
4,2,1.371678,2.99686,1.232399,0
5,7,-0.172628,5.47714,1.041024,0
1,2,0.266134,5.537619,1.372538,1
2,11,-0.042379,5.832212,1.043563,0
3,5,0.339706,4.701641,0.657117,0
4,2,0.580756,3.289836,1.056831,0
5,7,-0.175241,5.590564,0.945753,0
1,2,0.170231,5.945864,0.953242,0
2,8,-0.015544,3.852648,0.679843,0
3,9,0.423311,3.865538,1.071033,1
4,2,0.982788,3.064032,1.03631,0
5,7,-0.372867,4.690851,1.060843,0
1,2,0.168007,3.752881,1.030222,0
2,8,0.13526,3.491962,0.768164,0
3,8,0.164591,3.339058,0.702871,0
4,2,0.993542,3.240395,1.026049,0
5,7,-0.315851,3.358328,0.941581,0
1,2,0.138438,5.387275,0.827126,0
2,12,0.118408,4.290943,1.890884,2
3,7,0.342397,3.750212,1.017736,1
4,2,0.882675,2.968468,1.163996,0
5,7,-0.42141,4.668016,1.11578,0
1,2,0.195893,5.612044,0.946691,0
2,8,0.089418,5.015264,0.655663,0
3,7,-0.026185,3.981518,1.075297,0
4,2,1.076338,4.006695,1.048851,0
5,7,-0.231659,4.225795,0.937061,0
1,2,0.17137,5.412522,0.70101,1
2,8,0.000845,4.533209,0.797689,0
3,7,0.460758,3.042725,0.674664,0
4,2,0.634562,4.254125,1.014649,0
5,7,-0.336765,3.879643,1.000691,1
1,2,-0.124299,4.485791,0.863159,0
2,12,-0.018871,4.290601,1.40601,0
3,10,-0.063721,4.128358,1.246997,1
4,2,0.950341,3.831747,0.917744,0
5,9,-0.076758,4.150492,1.349437,1
1,2,0.444226,3.64003,0.8779,0
2,8,0.029938,3.250854,0.740166,0
3,2,0.07154,3.13997,0.573973,0
4,2,0.874186,3.05365,0.982727,0
5,7,-0.226791,3.752728,0.982958,0
1,2,0.061697,4.984469,0.948328,0
2,8,0.127284,4.892,0.922153,0
3,7,0.166968,4.414368,0.887526,1
4,2,0.883029,2.440765,0.912044,0
5,7,-0.114208,4.977835,0.894989,0
1,2,0.413147,5.77454,1.007292,0
2,8,0.145859,3.853193,1.089887,0
3,5,0.104985,3.006312,1.156145,0
4,2,1.537946,6.408688,1.079632,0
5,7,-0.377724,3.710599,1.109174,0
1,2,0.100312,5.387828,0.856608,0
2,8,-0.176794,5.013164,1.140028,0
3,4,-0.030753,3.506631,0.752396,0
4,2,1.270495,3.513744,0.933705,0
5,7,-0.171456,4.205279,0.975308,0
1,2,0.342217,5.624294,1.177631,0
2,8,0.111768,4.629398,0.865648,0
3,7,0.356222,3.739454,0.978706,0
4,2,0.817149,2.709784,0.942825,0
5,7,-0.37711,5.229867,1.097005,0
1,2,-0.285313,5.306196,0.843505,0
2,8,0.007947,3.733265,0.687988,0
3,7,0.390194,3.624596,0.629894,0
4,2,0.824399,3.336079,0.902924,0
5,7,-0.137315,4.985496,0.962443,1
1,2,0.221265,6.049521,0.897554,0
2,8,-0.045668,4.852233,0.702496,0
3,6,0.499306,3.869079,0.713366,1
4,2,0.302054,2.801379,0.949666,0
5,7,-0.180892,4.620474,0.899161,0
1,2,0.678295,6.480149,0.756697,0
2,8,-0.072206,3.260765,0.774273,0
3,3,0.943991,4.067144,0.696639,0
4,2,1.121968,3.791195,0.981587,0
5,7,-0.29501,6.652536,1.207574,0
1,2,-0.154288,4.096242,0.810747,0
2,8,-0.127578,3.18945,1.084032,0
3,5,0.306951,3.7363,0.63629,0
4,2,0.830764,3.996101,1.006669,0
5,7,-0.041428,3.730318,0.863695,0
1,2,-0.349135,4.819002,1.126857,1
2,14,0.085322,4.238523,2.603052,2
3,6,0.082328,4.220442,1.059226,2
4,3,0.890988,3.351985,0.937125,0
5,7,-0.210431,5.149257,0.950969,2
1,2,0.778319,5.661878,0.891003,0
2,10,0.051495,4.04139,1.281546,0
3,7,0.633367,3.437098,1.057914,0
4,2,0.987282,2.84464,0.914324,0
5,7,-0.461608,5.123771,1.039286,0
1,2,0.408317,4.151927,0.853332,0
2,8,0.019064,4.201903,0.860303,0
3,6,0.073973,3.295283,0.939676,0
4,2,0.86134,3.186567,0.935985,0
5,6,-0.256271,4.554069,0.769468,0
1,2,0.058358,6.101586,0.972897,0
2,8,-0.007119,4.702139,0.88881,0
3,4,0.27426,4.769537,1.227154,1
4,2,1.158726,3.006776,0.848201,0
5,7,-0.253322,3.703772,0.990607,0
1,2,0.332293,4.426246,0.895917,0
2,8,0.344487,3.059064,0.754165,0
3,7,0.486094,3.351255,0.84702,0
4,2,1.276635,3.523456,0.922304,0
5,7,-0.159765,3.757688,1.060496,0
1,2,0.118405,4.660529,0.825488,0
2,8,0.149853,3.968782,0.676025,0
3,3,0.474068,3.815871,0.578073,0
4,2,1.376673,2.739084,0.997548,0
5,7,-0.35679,4.289719,1.110217,1
1,2,-0.386757,2.488381,0.999103,0
2,9,-0.030991,3.687866,0.938188,1
3,5,-0.452523,3.541463,0.793722,0
4,2,0.856731,3.080117,0.876702,0
5,8,-0.00911,3.781682,2.097,0
1,2,0.19392,4.961143,0.64696,0
2,10,-0.173346,4.093473,1.276201,0
3,5,0.195403,3.879328,0.893594,1
4,2,0.623516,4.229915,0.82312,0
5,7,-0.108896,5.030177,0.848744,0
1,2,0.295721,4.539792,0.825488,0
2,8,0.071456,3.890653,0.687224,0
3,4,0.357891,4.0526,0.612019,0
4,2,0.719939,4.126804,0.924585,0
5,7,-0.290873,4.804256,0.908897,0
1,2,-0.065038,5.269266,1.159614,1
2,8,0.077204,4.543385,0.997748,2
3,8,0.064945,4.473364,1.301442,2
4,2,0.517294,3.152967,1.088752,0
5,7,-0.080641,4.429462,1.01286,2
1,2,0.217747,4.222658,1.05479,0
2,8,-0.035068,3.485899,0.913754,0
3,7,-0.066185,3.585223,0.982642,1
4,2,1.086611,2.988807,0.957646,0
5,7,-0.098004,3.652439,0.87656,1
