@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.06,0.884,0.057,0.208,0.706,0.145,0.42,0
0.005,0.339,0.655,0.147,0.391,0.146,0.253,2
0.006,0.519,0.476,0.099,0.588,0.138,0.795,1
0.223,0.75,0.027,0.418,0.553,0.134,0.563,0
0.286,0.335,0.379,0.35,0.449,0.16,0.43,0
0.223,0.307,0.471,0.216,0.478,0.213,0.256,0
0.725,0.153,0.122,0.684,0.294,0.19,0.402,0
0.733,0.223,0.044,0.541,0.416,0.255,0.536,0
0.299,0.243,0.458,0.51,0.423,0.254,0.369,0
0.619,0.298,0.083,0.308,0.297,0.109,0.281,0
0.042,0.771,0.187,0.384,0.445,0.361,0.446,1
0.159,0.712,0.13,0.206,0.532,0.124,0.291,1
0.734,0.086,0.18,0.37,0.364,0.32,0.479,0
0.868,0.06,0.071,0.696,0.285,0.274,0.516,0
0.053,0.495,0.452,0.125,0.354,0.147,0.39,0
0.005,0.805,0.19,0.482,0.415,0.133,0.322,1
0.674,0.19,0.136,0.739,0.229,0.328,0.448,0
0.007,0.352,0.641,0.02,0.202,0.138,0.26,1
0.144,0.339,0.517,0.066,0.294,0.417,0.393,2
0.022,0.079,0.9,0.25,0.513,0.18,0.48,2
0.063,0.584,0.353,0.805,0.127,0.113,0.307,2
0.337,0.599,0.064,0.745,0.222,0.279,0.506,0
0.003,0.54,0.457,0.064,0.705,0.147,0.427,1
0.219,0.753,0.028,0.748,0.19,0.109,0.332,1
0.537,0.217,0.246,0.777,0.18,0.493,0.346,0
0.472,0.367,0.161,0.38,0.506,0.239,0.409,0
0.198,0.399,0.403,0.319,0.491,0.212,0.238,0
0.655,0.125,0.22,0.696,0.258,0.518,0.265,0
0.303,0.578,0.119,0.56,0.356,0.222,0.51,0
0.064,0.095,0.841,0.257,0.58,0.281,0.399,0
0.817,0.144,0.039,0.564,0.344,0.496,0.353,0
0.561,0.235,0.204,0.905,0.047,0.761,0.152,0
0.028,0.655,0.316,0.464,0.252,0.234,0.332,0
0.332,0.647,0.021,0.747,0.137,0.111,0.31,0
0.011,0.203,0.786,0.057,0.32,0.127,0.292,2
0.002,0.608,0.389,0.056,0.729,0.377,0.266,1
0.049,0.005,0.946,0.335,0.469,0.723,0.06,0
0.034,0.709,0.257,0.53,0.421,0.256,0.533,0
0.735,0.163,0.102,0.606,0.225,0.843,0.006,0
0.014,0.836,0.15,0.172,0.775,0.182,0.68,1
0.007,0.797,0.196,0.039,0.367,0.189,0.251,2
0.425,0.248,0.326,0.321,0.588,0.36,0.229,0
0.134,0.559,0.308,0.233,0.666,0.581,0.302,0
0.355,0.475,0.171,0.16,0.505,0.025,0.958,1
0.077,0.898,0.024,0.246,0.729,0.475,0.161,0
