@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.258,0.706,0.037,0.291,0.659,0.243,0.31,0
0.018,0.327,0.655,0.081,0.359,0.254,0.268,2
0.089,0.493,0.419,0.078,0.592,0.271,0.606,1
0.085,0.869,0.045,0.433,0.556,0.231,0.318,0
0.683,0.16,0.157,0.657,0.241,0.246,0.294,0
0.548,0.206,0.246,0.107,0.526,0.296,0.331,0
0.265,0.416,0.319,0.904,0.09,0.285,0.355,0
0.824,0.146,0.03,0.913,0.079,0.3,0.353,0
0.324,0.267,0.409,0.557,0.366,0.321,0.418,0
0.685,0.208,0.106,0.609,0.144,0.235,0.27,0
0.041,0.777,0.182,0.531,0.318,0.353,0.425,1
0.175,0.706,0.119,0.16,0.52,0.246,0.297,1
0.668,0.115,0.217,0.422,0.33,0.335,0.391,0
0.57,0.193,0.237,0.844,0.149,0.302,0.32,0
0.205,0.434,0.361,0.043,0.425,0.233,0.253,0
0.03,0.789,0.181,0.596,0.329,0.257,0.312,1
0.654,0.198,0.149,0.539,0.42,0.3,0.245,0
0.02,0.352,0.628,0.006,0.176,0.251,0.269,1
0.184,0.367,0.448,0.014,0.328,0.32,0.541,2
0.108,0.063,0.829,0.053,0.694,0.239,0.286,2
0.059,0.658,0.283,0.632,0.244,0.242,0.304,2
0.459,0.484,0.057,0.806,0.174,0.32,0.479,0
0.024,0.506,0.47,0.006,0.795,0.23,0.26,1
0.135,0.803,0.062,0.894,0.083,0.241,0.319,1
0.56,0.211,0.229,0.879,0.103,0.404,0.416,0
0.748,0.165,0.087,0.536,0.371,0.294,0.341,0
0.082,0.472,0.446,0.312,0.467,0.284,0.324,0
0.411,0.22,0.369,0.475,0.468,0.424,0.445,0
0.157,0.678,0.164,0.184,0.699,0.295,0.526,0
0.42,0.086,0.494,0.46,0.369,0.317,0.414,0
0.836,0.129,0.034,0.516,0.384,0.387,0.512,0
