@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.036,0.924,0.04,0.083,0.814,0.19,0.361,0
0.01,0.343,0.647,0.03,0.39,0.178,0.319,2
0.035,0.451,0.513,0.148,0.41,0.427,0.422,1
0.318,0.657,0.025,0.986,0.013,0.206,0.392,0
0.293,0.44,0.268,0.209,0.472,0.208,0.365,0
0.511,0.172,0.317,0.009,0.606,0.217,0.351,0
0.609,0.243,0.147,0.835,0.156,0.244,0.355,0
0.771,0.193,0.036,0.866,0.12,0.34,0.395,0
0.531,0.157,0.312,0.68,0.283,0.291,0.36,0
0.718,0.217,0.065,0.085,0.268,0.157,0.301,0
0.007,0.79,0.204,0.387,0.444,0.421,0.364,1
0.101,0.735,0.163,0.041,0.653,0.163,0.318,1
0.223,0.231,0.546,0.125,0.431,0.39,0.376,0
0.334,0.323,0.343,0.864,0.131,0.353,0.389,0
0.173,0.464,0.363,0.234,0.285,0.2,0.344,0
0.018,0.759,0.223,0.416,0.452,0.182,0.321,1
0.255,0.473,0.272,0.573,0.401,0.388,0.369,0
0.01,0.348,0.641,0,0.165,0.175,0.315,1
0.183,0.42,0.397,0.011,0.362,0.337,0.448,2
0.026,0.086,0.888,0.006,0.688,0.215,0.403,2
0.075,0.502,0.423,0.3,0.489,0.157,0.313,2
0.154,0.761,0.084,0.817,0.16,0.356,0.386,0
0.018,0.505,0.476,0.096,0.704,0.202,0.354,1
0.025,0.893,0.083,0.891,0.082,0.156,0.315,1
0.272,0.323,0.406,0.676,0.274,0.517,0.322,0
0.563,0.323,0.113,0.346,0.549,0.273,0.379,0
0.198,0.355,0.447,0.086,0.689,0.192,0.368,0
0.502,0.188,0.31,0.395,0.558,0.517,0.301,0
0.431,0.454,0.114,0.666,0.296,0.295,0.388,0
0.188,0.038,0.774,0.285,0.529,0.299,0.386,0
0.73,0.216,0.054,0.521,0.372,0.513,0.33,0
0.386,0.312,0.302,0.942,0.031,0.711,0.214,0
0.38,0.352,0.269,0.749,0.143,0.237,0.377,0
0.025,0.925,0.049,0.564,0.267,0.158,0.31,0
0.004,0.192,0.804,0.004,0.312,0.171,0.314,2
0.002,0.635,0.363,0.001,0.773,0.236,0.46,1
0.907,0.003,0.089,0.468,0.38,0.251,0.546,0
0.133,0.765,0.102,0.797,0.196,0.253,0.474,0
0.067,0.524,0.408,0.776,0.133,0.245,0.572,0
0.089,0.863,0.048,0.092,0.868,0.225,0.563,1
0.016,0.771,0.214,0,0.376,0.19,0.353,2
0.903,0.06,0.037,0.345,0.597,0.264,0.408,0
0.101,0.634,0.265,0.137,0.778,0.559,0.316,0
0.056,0.657,0.286,0.022,0.568,0.017,0.957,1
0.056,0.942,0.002,0.172,0.808,0.238,0.477,0
0.024,0.826,0.15,0.004,0.688,0.162,0.49,1
0.462,0.215,0.323,0.727,0.25,0.38,0.326,0
0.272,0.691,0.037,0.618,0.369,0.292,0.45,1
0.005,0.182,0.813,0,0.067,0.259,0.34,0
0.658,0.335,0.007,0.773,0.202,0.156,0.315,0
0.802,0.014,0.184,0.117,0.618,0.331,0.381,0
0.277,0.528,0.195,0.336,0.625,0.425,0.363,0
0.326,0.652,0.022,0.356,0.454,0.46,0.339,0
0.481,0.479,0.04,0.026,0.641,0.191,0.388,0
0.95,0.009,0.041,0.307,0.668,0.245,0.355,0
0.581,0.298,0.121,0.784,0.2,0.335,0.39,0
0.779,0.214,0.008,0.993,0.007,0.685,0.228,0
0.899,0.039,0.062,0.902,0.09,0.261,0.389,0
0.666,0.118,0.217,0.798,0.069,0.147,0.301,0
0.086,0.825,0.089,0.119,0.83,0.204,0.375,0
0,0.815,0.185,0.002,0.742,0.186,0.321,1
0.004,0.086,0.91,0,0.176,0.289,0.421,2
0.683,0.292,0.025,0.634,0.348,0.622,0.273,0
0.95,0.022,0.028,0.268,0.688,0.291,0.363,0
0.21,0.785,0.006,0.125,0.758,0.201,0.423,0
0.978,0.007,0.015,0.788,0.09,0.831,0.147,0
0.32,0.549,0.132,0.445,0.526,0.417,0.366,0
0.926,0.07,0.004,0.99,0.005,0.371,0.429,0
0.083,0.589,0.328,0.022,0.621,0.192,0.342,0
0.509,0.468,0.023,0.421,0.137,0.503,0.335,0
0.474,0.229,0.297,0.032,0.657,0.272,0.381,0
0.402,0.531,0.068,0.221,0.535,0.166,0.343,0
0.275,0.19,0.536,0.126,0.665,0.328,0.418,0
0.527,0.242,0.232,0.657,0.306,0.573,0.308,0
0.038,0.379,0.584,0.004,0.303,0.305,0.404,2
0.481,0.449,0.07,0.695,0.274,0.294,0.378,0
0.127,0.871,0.002,0.996,0.004,0.134,0.292,0
0.907,0.007,0.085,0.296,0.663,0.64,0.24,0
0.393,0.567,0.04,0.867,0.107,0.245,0.439,0
0.653,0.326,0.02,0.916,0.079,0.258,0.354,0
0.11,0.848,0.042,0.035,0.801,0.173,0.337,0
0.928,0.014,0.059,0.635,0.311,0.515,0.313,0
0.059,0.677,0.265,0.46,0.5,0.217,0.356,1
0.439,0.441,0.12,0.037,0.884,0.19,0.347,1
0.991,0.005,0.004,0.336,0.507,0.679,0.24,0
0.054,0.943,0.003,0.61,0.385,0.291,0.448,0
0.462,0.497,0.041,0.655,0.298,0.453,0.391,0
0.245,0.61,0.145,0.172,0.808,0.218,0.395,0
0.382,0.617,0.001,0.886,0.112,0.152,0.305,0
0.933,0.047,0.019,0.874,0.117,0.692,0.226,0
0.253,0.534,0.213,0.655,0.26,0.431,0.367,0
0.329,0.451,0.22,0.43,0.428,0.232,0.361,1
0.018,0.857,0.125,0.348,0.621,0.176,0.305,2
0.372,0.433,0.195,0.114,0.741,0.209,0.381,1
0.038,0.94,0.022,0.012,0.796,0.167,0.361,0
0.603,0.377,0.019,0.179,0.426,0.239,0.55,0
0.505,0.274,0.221,0.011,0.589,0.203,0.349,0
0.043,0.009,0.948,0.055,0.51,0.187,0.32,2
0.262,0.698,0.041,0.366,0.574,0.373,0.412,0
0.413,0.568,0.019,0.314,0.488,0.212,0.424,0
0.644,0.335,0.021,0.546,0.395,0.635,0.266,0
0.653,0.276,0.072,0.909,0.084,0.179,0.318,0
0.851,0.012,0.137,0.476,0.301,0.787,0.166,0
0.669,0.272,0.059,0.65,0.33,0.61,0.281,0
0.098,0.069,0.833,0.076,0.67,0.164,0.335,0
0.031,0.764,0.204,0.084,0.762,0.315,0.391,1
0.683,0.117,0.2,0.949,0.05,0.236,0.379,0
0.048,0.796,0.156,0.043,0.866,0.177,0.432,1
0.398,0.106,0.496,0.846,0.142,0.467,0.34,0
0.285,0.578,0.137,0.049,0.742,0.359,0.425,1
0.27,0.692,0.037,0.355,0.635,0.266,0.453,0
0.097,0.86,0.043,0.007,0.885,0.202,0.431,0
0.661,0.124,0.215,0.776,0.207,0.366,0.371,0
0.508,0.144,0.348,0.269,0.322,0.286,0.349,0
0.217,0.682,0.101,0.276,0.498,0.179,0.323,0
0.443,0.402,0.155,0.273,0.536,0.501,0.34,0
0.491,0.366,0.143,0.268,0.501,0.179,0.413,0
0.777,0.139,0.083,0.609,0.374,0.466,0.349,0
0.131,0.435,0.435,0.929,0.07,0.555,0.291,0
0.886,0.008,0.106,0.769,0.219,0.268,0.373,0
0.326,0.516,0.158,0.318,0.508,0.201,0.322,0
0.044,0.558,0.397,0.008,0.816,0.413,0.355,0
0.192,0.757,0.051,0.905,0.065,0.167,0.31,0
0.292,0.326,0.382,0.111,0.741,0.215,0.365,1
0.006,0.73,0.264,0.002,0.422,0.197,0.342,2
0.679,0.157,0.164,0.86,0.109,0.236,0.359,0
0.014,0.498,0.488,0.167,0.604,0.348,0.354,0
0.86,0.069,0.071,0.991,0.009,0.199,0.388,0
0.238,0.735,0.028,0.293,0.654,0.181,0.361,0
0.097,0.869,0.034,0.389,0.577,0.443,0.373,0
0.008,0.548,0.445,0.497,0.432,0.619,0.248,1
0.865,0.038,0.097,0.984,0.014,0.236,0.381,0
0.137,0.793,0.07,0.802,0.165,0.182,0.316,0
0.117,0.691,0.192,0.637,0.339,0.463,0.351,0
0.003,0.572,0.426,0.073,0.859,0.257,0.391,0
0.145,0.792,0.063,0.151,0.761,0.188,0.363,0
0.761,0.006,0.233,0.119,0.795,0.802,0.146,0
0.14,0.779,0.081,0.768,0.195,0.357,0.401,0
0.003,0.808,0.189,0.067,0.764,0.286,0.434,1
0.045,0.922,0.032,0.205,0.779,0.274,0.468,0
0.343,0.598,0.059,0.217,0.774,0.238,0.419,0
0.53,0.227,0.243,0.492,0.37,0.514,0.369,0
0.054,0.212,0.734,0.822,0.154,0.376,0.388,0
0.124,0.618,0.258,0.98,0.019,0.561,0.292,0
0.224,0.539,0.236,0.426,0.475,0.227,0.399,0
0.401,0.573,0.026,0.489,0.453,0.18,0.331,0
0.109,0.728,0.163,0.638,0.33,0.447,0.345,0
0.905,0.041,0.054,0.851,0.116,0.259,0.385,0
0.546,0.426,0.029,0.935,0.059,0.22,0.324,0
0.091,0.879,0.029,0.174,0.594,0.55,0.305,0
0.184,0.456,0.36,0.644,0.328,0.621,0.288,0
0.602,0.168,0.23,0.758,0.177,0.297,0.386,0
0.078,0.862,0.059,0.556,0.291,0.186,0.336,0
0.297,0.673,0.03,0.383,0.501,0.656,0.254,0
0.447,0.407,0.146,0.873,0.106,0.28,0.394,0
0.258,0.7,0.042,0.37,0.563,0.399,0.366,1
0.26,0.718,0.022,0.217,0.745,0.353,0.445,0
0.015,0.372,0.613,0.207,0.446,0.266,0.369,0
0.021,0.865,0.113,0.004,0.811,0.187,0.495,1
0.099,0.77,0.132,0.055,0.702,0.339,0.398,1
0.403,0.588,0.009,0.998,0.002,0.748,0.201,0
0.948,0.026,0.026,0.492,0.413,0.299,0.387,0
0.545,0.44,0.016,0.468,0.415,0.15,0.303,0
0.163,0.796,0.041,0.707,0.173,0.346,0.467,0
0.085,0.904,0.011,0.041,0.948,0.256,0.441,0
0.163,0.803,0.035,0.098,0.764,0.216,0.399,1
0.971,0.014,0.015,0.81,0.179,0.717,0.2,0
0.112,0.873,0.015,0.553,0.437,0.484,0.358,0
0.306,0.527,0.167,0.008,0.668,0.208,0.364,0
0.131,0.036,0.833,0.938,0.053,0.71,0.207,0
0.028,0.652,0.32,0.184,0.746,0.234,0.353,0
0.424,0.543,0.033,0.95,0.05,0.162,0.309,0
0.922,0.023,0.055,0.921,0.076,0.333,0.35,0
0.293,0.613,0.093,0.507,0.408,0.512,0.352,0
0.503,0.206,0.292,0.497,0.417,0.225,0.383,0
0.086,0.83,0.084,0.827,0.166,0.246,0.452,0
0.724,0.176,0.101,0.835,0.156,0.323,0.385,0
0.083,0.906,0.011,0.553,0.38,0.413,0.402,1
0.772,0.133,0.095,0.992,0.007,0.249,0.394,0
0.895,0.08,0.024,0.053,0.7,0.196,0.33,0
0.955,0.014,0.03,0.641,0.309,0.428,0.338,0
0.002,0.926,0.073,0.158,0.593,0.402,0.389,0
0.645,0.349,0.005,0.625,0.373,0.535,0.328,0
0.398,0.402,0.201,0.038,0.809,0.237,0.355,0
0.712,0.254,0.034,0.952,0.03,0.169,0.314,0
0.511,0.098,0.39,0.51,0.448,0.527,0.334,0
0.557,0.385,0.058,0.478,0.442,0.543,0.321,0
0.146,0.598,0.256,0.428,0.44,0.501,0.329,2
0.071,0.52,0.409,0.028,0.387,0.234,0.349,0
0.4,0.514,0.086,0.341,0.541,0.212,0.328,0
0.13,0.758,0.112,0.698,0.285,0.429,0.364,0
0.673,0.274,0.053,0.025,0.899,0.173,0.319,0
0.332,0.34,0.327,0.193,0.446,0.282,0.383,0
0.016,0.732,0.252,0.053,0.593,0.177,0.349,1
0.986,0.003,0.011,0.588,0.381,0.514,0.354,0
0.487,0.469,0.044,0.634,0.232,0.465,0.347,0
0.597,0.347,0.056,0.317,0.603,0.254,0.46,0
0.174,0.817,0.009,0.32,0.655,0.254,0.468,0
0.087,0.907,0.006,0.134,0.799,0.255,0.511,0
0.702,0.251,0.047,0.399,0.569,0.255,0.479,0
0.478,0.493,0.029,0.783,0.155,0.695,0.255,0
0.756,0.195,0.049,0.953,0.046,0.482,0.321,0
0.857,0.123,0.02,0.929,0.07,0.14,0.301,0
0.983,0.002,0.016,0.763,0.189,0.606,0.28,0
0.086,0.9,0.014,0.158,0.79,0.344,0.508,1
0.53,0.443,0.027,0.28,0.551,0.237,0.451,0
0.35,0.56,0.09,0.064,0.792,0.204,0.642,1
0.695,0.275,0.03,0.376,0.547,0.158,0.342,0
0.008,0.184,0.808,0,0.061,0.288,0.385,0
0.054,0.672,0.274,0.126,0.833,0.283,0.356,0
0.331,0.634,0.035,0.476,0.457,0.178,0.494,1
0.15,0.015,0.835,0.121,0.126,0.207,0.365,2
0.016,0.693,0.291,0.001,0.044,0.152,0.307,2
0.681,0.182,0.137,0.027,0.837,0.348,0.381,0
0.195,0.711,0.094,0.33,0.633,0.403,0.37,2
0.551,0.267,0.183,0.107,0.747,0.413,0.341,0
0.266,0.624,0.11,0.139,0.663,0.199,0.346,1
0.435,0.53,0.035,0.586,0.332,0.39,0.385,1
