@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.847,0.105,0.048,0.199,0.407,0
0.372,0.579,0.049,0.226,0.35,0
0.023,0.337,0.64,0.268,0.221,2
0.38,0.129,0.49,0.309,0.246,2
0.07,0.487,0.443,0.287,0.533,1
0.18,0.764,0.056,0.191,0.466,0
0.622,0.195,0.183,0.234,0.364,0
0.473,0.228,0.299,0.311,0.246,0
0.403,0.362,0.235,0.263,0.349,0
0.728,0.226,0.046,0.247,0.524,0
0.649,0.29,0.061,0.287,0.438,0
0.234,0.33,0.437,0.305,0.348,0
0.666,0.251,0.083,0.229,0.228,0
0.577,0.271,0.152,0.413,0.293,0
0.61,0.264,0.125,0.249,0.448,0
0.149,0.726,0.125,0.206,0.341,0
0.288,0.054,0.658,0.296,0.32,0
0.063,0.898,0.04,0.221,0.258,0
0.488,0.124,0.388,0.405,0.267,0
0.07,0.727,0.203,0.306,0.489,1
0.079,0.674,0.247,0.33,0.353,1
0.087,0.256,0.658,0.264,0.333,0
0.237,0.647,0.116,0.238,0.243,1
0.44,0.39,0.171,0.48,0.262,0
0.714,0.087,0.199,0.284,0.502,0
0.732,0.121,0.147,0.26,0.513,0
0.191,0.468,0.342,0.237,0.323,0
0.03,0.782,0.187,0.242,0.265,1
0.582,0.163,0.256,0.368,0.278,0
0.686,0.173,0.142,0.301,0.467,0
0.079,0.596,0.325,0.277,0.39,0
0.224,0.321,0.454,0.3,0.353,0
0.026,0.342,0.631,0.26,0.223,1
0.853,0.041,0.106,0.557,0.229,0
0.953,0.018,0.03,0.215,0.494,0
0.32,0.291,0.389,0.305,0.502,2
0.115,0.077,0.808,0.228,0.426,2
0.092,0.612,0.296,0.225,0.25,2
0.281,0.617,0.102,0.319,0.339,0
0.377,0.542,0.08,0.265,0.505,0
0.282,0.26,0.458,0.2,0.399,2
0.029,0.519,0.452,0.228,0.353,1
0.232,0.706,0.063,0.216,0.266,1
0.622,0.297,0.08,0.632,0.236,0
0.479,0.248,0.273,0.376,0.45,0
0.068,0.224,0.709,0.285,0.428,1
0.715,0.195,0.09,0.281,0.383,0
0.141,0.462,0.397,0.308,0.238,0
0.461,0.228,0.311,0.442,0.346,0
0.513,0.44,0.047,0.248,0.495,0
0.131,0.243,0.626,0.254,0.33,0
0.478,0.38,0.142,0.286,0.347,0
0.91,0.035,0.056,0.229,0.221,0
0.744,0.101,0.155,0.209,0.293,0
0.414,0.405,0.181,0.261,0.502,0
0.264,0.572,0.164,0.248,0.469,0
0.154,0.114,0.732,0.3,0.395,0
0.696,0.102,0.202,0.241,0.234,0
0.732,0.037,0.232,0.458,0.294,0
0.73,0.21,0.06,0.366,0.468,0
0.395,0.329,0.276,0.549,0.336,0
0.068,0.644,0.288,0.297,0.318,0
0.483,0.481,0.036,0.224,0.25,0
0.513,0.354,0.133,0.526,0.244,0
0.479,0.243,0.278,0.326,0.439,0
0.265,0.531,0.204,0.19,0.472,0
0.384,0.557,0.06,0.203,0.373,0
0.06,0.222,0.718,0.243,0.242,2
0.692,0.159,0.15,0.457,0.276,0
0.376,0.439,0.184,0.326,0.465,0
0.198,0.682,0.12,0.27,0.402,0
0.238,0.24,0.522,0.273,0.35,0
0.059,0.588,0.353,0.354,0.339,1
0.259,0.058,0.684,0.62,0.193,0
0.295,0.568,0.137,0.223,0.556,0
0.623,0.215,0.163,0.801,0.071,0
0.235,0.669,0.096,0.306,0.446,1
0.035,0.771,0.194,0.293,0.239,2
0.262,0.456,0.282,0.38,0.28,0
0.38,0.42,0.2,0.391,0.47,0
0.376,0.419,0.204,0.055,0.906,1
0.39,0.597,0.014,0.437,0.265,0
0.151,0.702,0.147,0.278,0.302,1
0.809,0.063,0.127,0.382,0.302,0
0.488,0.457,0.054,0.279,0.49,1
0.231,0.484,0.286,0.558,0.298,0
0.068,0.188,0.744,0.308,0.284,0
0.546,0.435,0.019,0.23,0.243,0
0.818,0.018,0.165,0.337,0.375,0
0.438,0.384,0.179,0.329,0.462,0
0.395,0.56,0.045,0.359,0.432,0
0.353,0.484,0.162,0.233,0.327,0
0.621,0.328,0.051,0.336,0.225,0
0.484,0.174,0.342,0.263,0.351,0
0.681,0.216,0.103,0.255,0.502,0
0.279,0.655,0.066,0.535,0.337,0
0.869,0.05,0.081,0.269,0.399,0
0.474,0.207,0.319,0.226,0.221,0
0.713,0.122,0.164,0.563,0.256,0
0.388,0.448,0.165,0.27,0.502,0
0.594,0.266,0.139,0.273,0.408,2
0.484,0.429,0.086,0.215,0.403,0
0.044,0.751,0.205,0.246,0.263,1
0.136,0.096,0.768,0.451,0.311,2
0.02,0.121,0.859,0.377,0.327,2
0.588,0.369,0.043,0.431,0.437,0
0.926,0.034,0.041,0.284,0.38,0
0.422,0.557,0.021,0.379,0.223,0
0.936,0.021,0.042,0.914,0.053,0
0.46,0.383,0.157,0.357,0.422,0
