@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0,0,0.538610,0.567835,0.650652,0
0.004175,0.010438,0,0,0.000696,0.009053,0,0.579591,0.617819,0.705296,0
0.008065,0.025161,0,0,0.004195,0.005163,0,0.821849,0.876626,1.013849,2
0,0.035225,0,0,0.009804,0,0,0.801847,0.853065,0.986615,2
0.004878,0.134959,0,0,0.017087,0.017087,0,0.525418,0.551027,0.631702,1
0,0.027174,0,0,0,0.054645,0,0.405905,0.427139,0.480640,0
0.004637,0.047913,0,0,0.003094,0.017788,0,0.566540,0.600201,0.687814,0
0.016484,0.020513,0,0,0.004031,0.004764,0,0.716681,0.763849,0.880719,0
0,0.041199,0,0,0.011278,0.015038,0,0.608982,0.645911,0.740183,0
0.001337,0.078877,0,0,0.016064,0.032129,0,0.268814,0.275365,0.303957,0
0,0.09434,0,0,0.006329,0.075949,0,0.422847,0.442465,0.504240,0
0.003752,0.074109,0,0,0.005634,0.037559,0,0.571715,0.603980,0.691584,0
0,0.009153,0,0,0.002289,0.007784,0,0.850856,0.908278,1.049404,0
0,0.080153,0,0,0.019157,0.02682,0,0.650178,0.687656,0.792101,0
0,0.063429,0,0,0.010913,0.046627,0,0.420405,0.439967,0.496376,0
0,0.004202,0,0,0,0.07173,0,0.616464,0.655847,0.751342,0
0,0.109224,0,0,0.005969,0.011019,0,0.651169,0.687461,0.790228,0
0,0.011589,0,0,0.002486,0.004143,0,0.786259,0.838132,0.966338,0
0,0.102703,0,0,0.01626,0.00813,0,0.716665,0.757839,0.875064,0
0,0.089602,0,0,0.023256,0.044297,0,0.297552,0.306784,0.335722,1
0,0.176923,0,0,0.007722,0.007722,0,0.572701,0.599609,0.690287,1
0,0.078777,0,0,0.003709,0.016226,0,0.636321,0.673110,0.772267,0
0.00674,0.00674,0,0,0.001065,0.01171,0,0.790738,0.844107,0.973406,1
0,0.170909,0,0,0.021898,0,0,0.681075,0.716469,0.826962,0
0,0.084416,0,0,0.03467,0.055255,0,0.285979,0.293957,0.323457,0
0.005952,0.029762,0,0,0.005988,0.05988,0,0.279107,0.292429,0.327153,0
0,0.048461,0,0,0.004587,0.005242,0,0.655481,0.695509,0.800654,0
0.001048,0.026895,0,0,0.002795,0.009783,0,0.768764,0.818823,0.944564,1
0,0.066066,0,0,0.01506,0.003012,0,0.708913,0.751621,0.867129,0
0,0.07631,0,0,0.022805,0.036488,0,0.345271,0.358391,0.401708,0
0,0.171717,0,0,0.010152,0.015228,0,0.517220,0.540298,0.621843,0
0,0.108959,0,0,0.007874,0.036947,0,0.580456,0.611674,0.701372,0
0.007475,0.023492,0,0,0.002937,0.008812,0,0.823259,0.878267,1.015345,1
0,0.129496,0,0,0.021661,0,0,0.700383,0.738775,0.852834,0
0,0.014756,0,0,0.009091,0.022727,0,0.354658,0.367840,0.405888,0
0.035156,0.039062,0,0,0.007843,0.015686,0,0.069562,0.078240,0.071678,2
0.020833,0.068376,0,0,0.001069,0.008552,0,0.406072,0.429159,0.489288,2
0.00163,0.012225,0,0,0.002854,0.003261,0,0.793109,0.845514,0.975392,2
0,0.072165,0,0,0.017241,0.010345,0,0.606087,0.637997,0.734769,0
0,0.044745,0,0,0.021875,0.060417,0,0.292982,0.301329,0.332096,0
0,0.175214,0,0,0.004292,0.051502,0,0.523197,0.546470,0.627404,2
0,0.11353,0,0,0.002593,0.01556,0,0.601793,0.634804,0.729020,1
0.001483,0.003955,0,0,0.000495,0.01088,0,0.769446,0.820577,0.943373,1
0,0.191781,0,0,0.027523,0,0,0.578452,0.603746,0.695298,0
0,0.17037,0,0,0.037076,0.026483,0,0.310541,0.315839,0.349683,0
0,0.167173,0,0,0.012195,0.02439,0,0.450784,0.468547,0.534627,1
0.011599,0.104391,0,0,0.007463,0.019071,0,0.495031,0.520347,0.594761,0
0.02871,0.018978,0,0,0.002921,0.00779,0,0.674533,0.719092,0.827817,0
0,0.105263,0,0,0.021127,0.003521,0,0.505752,0.531252,0.608026,0
0,0.036949,0,0,0.02148,0.053699,0,0.327515,0.339523,0.378814,0
0,0.033951,0,0,0.009288,0.01548,0,0.638387,0.677134,0.781461,0
0,0.066895,0,0,0.0103,0.035193,0,0.601271,0.635585,0.727969,0
0,0.013477,0,0,0.002697,0.006069,0,0.865731,0.923911,1.068244,0
0,0.023256,0,0,0,0.016667,0,0.712047,0.757993,0.874741,0
0,0.049065,0,0,0.012865,0.044444,0,0.304092,0.313583,0.346125,0
0,0.110638,0,0,0.017094,0,0,0.381917,0.399204,0.452141,0
0.011029,0.106005,0,0,0.007971,0.042918,0,0.444583,0.465674,0.525658,0
0,0.023826,0,0,0.003506,0.008415,0,0.836032,0.891498,1.030447,0
0,0.208333,0,0,0.010453,0.003484,0,0.611741,0.640219,0.737619,0
0.00365,0.088808,0,0,0.029233,0.062119,0,0.263480,0.268569,0.295966,0
0,0.026432,0,0,0.004425,0.039823,0,0.397606,0.414899,0.473711,0
0,0.075452,0,0,0.001064,0.02234,0,0.576346,0.608564,0.695580,0
0.002949,0.018873,0,0,0.00177,0.007965,0,0.808037,0.861724,0.995237,2
0,0.111486,0,0,0.016949,0,0,0.659893,0.695680,0.802930,0
0,0.153012,0,0,0.012063,0.030157,0,0.340396,0.350040,0.393440,0
0,0.051643,0,0,0.004717,0.042453,0,0.505926,0.533652,0.604388,0
0,0.107567,0,0,0.006884,0.01627,0,0.600285,0.632643,0.727450,0
0.050741,0.005211,0,0,0.001372,0.003841,0,0.287376,0.311264,0.348297,1
0.124579,0,0,0,0,0,0,0.033996,0.043931,0.032160,0
0.024752,0.00198,0,0,0.000991,0.003964,0,0.046040,0.059564,0.045851,0
0.197248,0.004587,0.004608,0,0.004608,0.023041,0,0.125280,0.129605,0.135189,0
0.059829,0.095571,0,0,0.003888,0.013219,0,0.378027,0.398625,0.451771,1
0.021802,0.011919,0,0,0.002035,0.00727,0,0.712805,0.761122,0.877709,2
0.036232,0.086957,0,0,0.014545,0.007273,0,0.503536,0.533215,0.611491,0
0.011659,0.087892,0,0,0.024237,0.022442,0,0.184143,0.190516,0.201182,0
0.115108,0.068345,0,0.00361,0,0.032491,0,0.249979,0.262468,0.288687,1
0.07343,0.021256,0,0,0.000967,0.016441,0,0.315592,0.337244,0.376749,0
0.04126,0.009377,0.00075,0,0.001876,0.010507,0,0.645429,0.689564,0.793369,1
0,0.063333,0,0,0.016722,0,0,0.640967,0.680768,0.782844,0
0.030941,0.032178,0,0,0.009913,0.022305,0,0.153197,0.163289,0.165526,1
0,0.149254,0,0,0.02,0.025,0,0.484343,0.504853,0.575178,0
0.004945,0.050209,0,0,0.006469,0.010654,0,0.696542,0.740066,0.852136,0
0.004135,0.012405,0,0,0.002759,0.011724,0,0.793663,0.847243,0.978201,0
0.018927,0.148265,0,0,0.018987,0,0,0.456427,0.478656,0.546764,0
0.005484,0.091408,0,0,0.025618,0.043916,0,0.309644,0.319705,0.355536,0
0,0.097826,0,0,0.010929,0.04918,0,0.375000,0.390769,0.440810,0
0,0.059493,0,0,0.003503,0.028897,0,0.651129,0.690215,0.792638,0
0.041223,0.006948,0,0,0.000927,0.012975,0,0.636347,0.679727,0.780381,0
0.003745,0.074906,0,0,0.011278,0,0,0.603806,0.639491,0.735961,0
0,0.131522,0,0,0.01741,0.044614,0,0.312180,0.320094,0.357067,0
0.00995,0.164179,0,0,0.04,0.015,0,0.388189,0.399394,0.455533,0
0.015135,0.122162,0,0,0.008658,0.029221,0,0.465383,0.487755,0.553726,0
0.003564,0.012117,0,0,0.001427,0,0,0.848614,0.906388,1.048165,0
0,0.098859,0,0,0.026718,0,0,0.616653,0.650013,0.745938,0
0,0.122538,0,0,0.015334,0.046002,0,0.303091,0.310873,0.344847,0
0,0.135,0,0,0.01005,0.01005,0,0.497948,0.519349,0.594608,2
0.003234,0.046079,0,0,0.002427,0.023463,0,0.498484,0.529197,0.604899,0
0.001275,0.01504,0,0,0.005099,0.00357,0,0.771761,0.822296,0.948852,1
0,0.182825,0,0,0.008333,0.002778,0,0.577140,0.604580,0.696958,2
0.037223,0.084507,0,0,0.011072,0.014595,0,0.393087,0.410364,0.463996,2
0,0.152174,0,0,0.027322,0,0,0.259304,0.260971,0.292205,0
0,0.099822,0,0,0.007136,0.015165,0,0.539117,0.567110,0.648240,0
0.056106,0.014521,0,0,0.001321,0.01321,0,0.550122,0.587309,0.672031,0
0.089655,0.158621,0,0,0.038062,0,0,0.411318,0.426860,0.487884,0
0.009991,0.112625,0,0,0.021818,0.024545,0,0.345775,0.358710,0.400508,0
0.074534,0.111801,0,0,0.0125,0.0625,0,0.248663,0.254856,0.278970,0
0.006002,0.033613,0,0,0.004805,0.015616,0,0.685598,0.729722,0.838772,0
0,0.005692,0,0,0.001139,0.011959,0,0.850630,0.908235,1.049107,0
0,0.150735,0,0,0.02583,0.00369,0,0.639472,0.672630,0.774018,0
0,0.134541,0,0,0.032383,0.050518,0,0.256112,0.258912,0.282356,0
0,0.098837,0,0,0.017544,0.035088,0,0.257273,0.264246,0.291608,0
0.020558,0.093979,0,0,0.005878,0.011756,0,0.536017,0.566088,0.646753,0
0.021831,0.004245,0,0,0.00182,0.009709,0,0.743481,0.794271,0.916689,0
0.058309,0.037901,0,0,0.01462,0,0,0.395758,0.419477,0.474978,0
0.021627,0.143151,0,0,0.030928,0.037113,0,0.255294,0.258449,0.280943,0
0.054913,0.034682,0,0,0.005797,0.02029,0,0.528192,0.561769,0.644846,2
0.003525,0.121034,0,0,0.004706,0.027059,0,0.440327,0.460954,0.519336,0
0,0.001672,0,0,0,0.006693,0,0.861026,0.919871,1.062421,0
0,0.145594,0,0,0.019231,0.019231,0,0.547616,0.575743,0.661526,0
0,0.09185,0,0,0.031088,0.059585,0,0.296299,0.304588,0.334759,0
0,0.034965,0,0,0,0.056338,0,0.157288,0.160461,0.168442,0
0,0.035437,0,0,0.004435,0.022173,0,0.610002,0.647442,0.743788,0
0.010496,0.005248,0,0,0.001432,0.008115,0,0.719827,0.768603,0.884720,0
0.028169,0.119718,0,0,0.028269,0,0,0.535126,0.561905,0.646246,0
0,0.22,0,0,0.026702,0.056075,0,0.242714,0.240296,0.265787,0
0,0.09434,0,0,0.012658,0.082278,0,0.479423,0.502697,0.572832,0
0,0.059524,0,0,0.009535,0.0441,0,0.582941,0.616702,0.704794,0
0,0.011121,0,0,0.002568,0.004281,0,0.894818,0.955558,1.105772,0
0,0.167315,0,0,0.015625,0.011719,0,0.603841,0.633615,0.729007,0
0,0.095528,0,0,0.02238,0.046796,0,0.324441,0.333080,0.372247,1
0,0.041667,0,0,0.011976,0.053892,0,0.458747,0.482883,0.546910,2
0,0.023548,0,0,0.006284,0.043991,0,0.601018,0.637271,0.730302,1
0.012672,0.013728,0.000528,0,0.002641,0.003698,0,0.677763,0.723164,0.834321,1
0.043478,0.187291,0,0,0.02349,0,0,0.453778,0.472360,0.541094,0
0.029151,0.031686,0,0,0.01269,0.031726,0,0.172054,0.182385,0.191265,0
0.068627,0.083333,0,0,0.009852,0.059113,0,0.273801,0.284349,0.320360,0
0.013198,0.026396,0,0,0.002033,0.005081,0,0.441427,0.471710,0.538097,0
0.002604,0.003472,0,0,0.000869,0.003475,0,0.836687,0.893990,1.033072,0
0.017241,0.12069,0,0,0.031142,0.00692,0,0.436004,0.456161,0.520439,0
0,0.078889,0,0,0.01891,0.046719,0,0.246824,0.250751,0.273916,0
0,0.062241,0,0,0.004167,0.033333,0,0.564573,0.596182,0.683753,1
0,0.079487,0,0,0.005988,0.019675,0,0.634658,0.671540,0.771098,2
0,0.006809,0,0,0.000974,0.009737,0,0.881479,0.941355,1.089064,1
0,0.064639,0,0,0.022901,0.034351,0,0.636798,0.672503,0.773197,0
0,0.086705,0,0,0.020251,0.041466,0,0.314909,0.323293,0.360030,2
0,0.063953,0,0,0.035088,0.005848,0,0.405070,0.419586,0.477941,0
0.007048,0.068128,0,0,0.004702,0.012539,0,0.602838,0.638236,0.733283,1
0,0.02049,0,0,0.004,0.002,0,0.847532,0.903783,1.045368,2
0,0.084175,0,0,0.023649,0.013514,0,0.652210,0.689179,0.793944,1
0,0.079399,0,0,0.019334,0.116004,0,0.224425,0.227047,0.245246,1
0,0.152284,0,0,0.010204,0.010204,0,0.415496,0.430416,0.493787,2
0.000723,0.095445,0,0,0.000724,0.019537,0,0.469146,0.493268,0.562633,1
0.02725,0.004955,0,0,0.000413,0.008261,0,0.684115,0.731049,0.841151,0
0,0.05,0,0,0.019305,0.007722,0,0.655731,0.694400,0.799011,0
0,0.076426,0,0,0.025862,0.020474,0,0.332692,0.342026,0.384520,2
0.127551,0.015306,0,0,0,0.051282,0,0.155514,0.159715,0.169557,0
0.001241,0.055831,0,0,0.005587,0.014277,0,0.629475,0.668758,0.767244,0
0.004077,0.028169,0,0,0.003337,0.003337,0,0.792770,0.845236,0.976325,2
0,0.086957,0,0,0.020134,0,0,0.663909,0.701035,0.808480,0
0.031712,0.063425,0,0,0.020106,0.050794,0,0.210557,0.217959,0.232511,0
0.02809,0,0,0,0,0.056497,0,0.385220,0.407902,0.457501,0
0,0.081778,0,0,0.004448,0.02669,0,0.620085,0.655420,0.753025,0
0,0.003759,0,0,0.00047,0.006582,0,0.859828,0.917987,1.060955,0
0,0.114754,0,0,0.028807,0.004115,0,0.594001,0.624641,0.719074,0
0,0.125152,0,0,0.027981,0.085158,0,0.248812,0.251014,0.275514,0
0.011236,0.129213,0,0,0.016949,0.022599,0,0.250862,0.255091,0.281343,0
0,0.090997,0,0,0.008721,0.028101,0,0.584972,0.616533,0.706519,0
0.000666,0.01932,0,0,0.003333,0.006667,0,0.781715,0.833074,0.961041,0
0.022581,0.158065,0,0,0.029126,0,0,0.478117,0.500123,0.573477,0
0,0.174142,0,0,0.030383,0.050198,0,0.248461,0.249487,0.272212,0
0,0.032864,0,0,0,0.037736,0,0.506170,0.534998,0.612516,1
0,0.053026,0,0,0.000577,0.008651,0,0.672045,0.713547,0.821176,0
0,0.000725,0,0,0.000362,0.003625,0,0.852916,0.910706,1.052139,0
0,0.106529,0,0,0.017241,0.003448,0,0.664818,0.701557,0.809871,0
0,0.106638,0,0,0.038126,0.043573,0,0.308772,0.315764,0.353714,0
0,0.067308,0,0,0.004831,0.014493,0,0.327377,0.347538,0.390110,1
0,0.118681,0,0,0.0044,0.016502,0,0.479177,0.501647,0.573694,0
0.013958,0.010806,0,0,0.002703,0.005405,0.00045,0.674192,0.719514,0.828421,1
0.020057,0.091691,0,0,0.014368,0.008621,0,0.416874,0.437288,0.499005,0
0,0.080717,0,0,0.022523,0.067568,0,0.294788,0.303348,0.339976,0
