@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,10,4.479066,1.102051,0
3,12,4.476359,1.524935,2
5,16,5.282326,1.282512,1
1,2,4.185434,0.907391,0
2,8,3.717095,0.992459,0
3,12,3.710519,1.342966,0
4,2,3.489355,0.914222,0
5,8,3.744269,0.78007,0
2,8,3.451455,0.817214,0
3,5,3.226075,1.07493,0
5,7,7.094787,0.943381,1
3,8,2.717923,1.386901,1
5,7,5.802987,0.963882,0
1,2,4.538522,0.825644,0
2,8,3.969727,1.171025,0
3,12,4.502463,1.40854,1
5,7,4.498704,0.915931,0
3,8,4.198062,1.842644,1
1,2,4.094864,1.257268,2
2,8,4.251957,1.435169,2
3,7,4.352923,1.207391,2
5,7,4.445478,1.002451,0
2,11,5.38112,1.478853,1
3,9,3.762812,0.995257,1
5,6,4.589115,0.98612,0
2,8,4.05231,0.925273,0
3,6,4.063057,1.010831,0
4,2,4.036506,0.975701,0
1,2,3.901367,1.154267,0
2,14,3.400645,1.251239,0
5,6,3.393658,0.857209,0
1,2,4.657121,0.93355,0
2,8,4.515958,1.017494,0
3,7,3.946242,1.014438,0
3,12,4.301709,1.668215,2
3,9,3.57853,1.793463,1
4,2,4.217083,1.015549,0
5,7,5.32793,1.053877,0
1,2,4.445331,1.074155,0
2,8,5.047678,0.986583,1
3,10,3.350088,1.691986,2
4,2,2.916137,0.944962,0
5,7,4.917948,1.162983,0
1,2,3.406422,1.366809,1
2,8,3.649491,0.793967,0
3,7,4.131687,1.311654,1
4,2,4.009388,1.026934,0
5,7,3.817433,0.842963,1
2,10,3.258206,2.015317,0
3,5,2.917086,0.713779,0
4,2,3.016237,1.08386,0
5,7,4.000689,1.141092,0
1,2,3.670158,0.907391,0
3,7,3.438863,1.062307,0
4,1,3.169606,0.914222,0
5,7,3.850844,0.959365,0
1,2,3.685902,0.989138,0
2,8,3.455159,0.709155,0
3,2,3.377466,0.6905,0
2,8,4.94207,0.94852,0
3,18,4.223454,1.929858,1
5,10,4.426974,2.073354,2
1,2,3.953887,0.907391,0
2,8,3.422389,0.860642,0
3,8,3.185894,0.745582,0
4,2,1.627654,0.992779,0
5,7,3.561084,1.148736,0
1,2,3.706473,0.79131,0
2,8,3.358486,1.277296,0
1,2,3.909108,0.845263,0
2,8,3.368784,1.044572,0
3,3,3.104877,0.811321,0
4,2,3.488715,1.173802,0
5,7,3.58635,1.013223,0
1,2,3.784312,1.700336,2
2,8,4.840624,0.652954,0
3,5,2.41161,0.882469,0
4,2,3.247011,0.893729,0
1,2,3.647504,0.703024,0
2,8,3.439014,0.692294,0
3,7,3.92146,1.031323,0
4,2,2.781845,0.972286,0
2,9,4.623354,0.97662,1
3,5,4.459865,0.931814,1
4,2,1.857721,1.024657,0
5,7,4.915703,0.822809,0
1,2,4.892608,1.003852,0
2,8,5.179627,0.755137,0
3,2,1.596783,0.566728,0
4,2,2.224549,0.993918,0
5,8,4.657423,0.939212,0
2,8,4.360455,0.979175,1
3,6,5.654631,0.984437,2
2,10,3.864322,1.060155,1
3,7,3.093536,1.191653,0
1,2,3.066823,0.964614,0
2,8,3.570451,1.236167,0
3,7,3.586543,1.327064,2
5,7,4.149177,0.987163,0
1,2,3.176732,0.874692,0
1,2,3.995587,0.876327,0
3,7,3.620939,0.738697,0
4,2,3.050896,1.06109,0
5,7,3.83573,0.790495,0
2,8,3.797649,1.330431,0
1,2,6.251011,1.025106,1
2,9,4.564996,0.697659,0
3,10,4.219458,1.092635,1
4,3,3.188565,1.195433,0
1,2,4.541616,1.046361,1
2,8,3.995826,0.701235,0
3,6,3.931977,1.076078,0
4,2,3.601488,0.901698,0
2,8,3.765315,0.922463,0
3,9,3.667449,1.030831,0
5,7,4.448673,0.982993,0
3,5,3.758382,0.880338,0
5,7,3.635125,0.888481,0
1,2,5.252722,0.982598,0
2,8,3.371703,0.786048,0
3,8,3.417787,1.037881,0
1,2,5.794505,1.064345,0
3,7,3.754747,0.844928,0
2,8,4.783542,0.857065,1
3,8,4.19326,1.550345,2
4,3,3.476314,1.086137,0
1,2,5.853308,1.291601,0
2,8,3.704572,0.613357,0
3,8,3.672899,0.759517,0
5,7,5.855324,0.921143,0
1,2,5.325631,1.584255,1
2,8,3.483463,0.721672,0
3,6,4.185694,0.82296,0
1,2,5.18147,0.962979,0
2,13,6.312105,1.333241,0
3,7,4.034402,0.86542,0
4,2,2.99686,1.230727,0
5,7,5.47714,1.040326,0
1,2,5.537619,1.370078,1
2,11,5.832212,1.047382,0
3,5,4.701641,0.656893,0
4,2,3.289836,1.055397,0
5,7,5.590564,0.945119,0
1,2,4.727714,0.985868,0
2,8,4.337568,0.876991,0
3,5,4.048899,0.777058,0
1,2,5.945864,0.951534,0
2,8,3.852648,0.682331,0
3,8,3.339058,0.702631,0
5,7,4.668016,1.115032,0
1,2,5.612044,0.944994,0
2,8,5.015264,0.658063,0
3,7,3.981518,1.07493,0
5,7,4.225795,0.936432,0
2,8,4.533209,0.800609,0
5,7,3.879643,1.000019,1
1,2,4.485791,0.861613,0
2,12,4.290601,1.411156,0
3,10,4.128358,1.246571,1
5,9,4.150492,1.348532,1
1,2,3.64003,0.876327,0
2,8,3.250854,0.742875,0
3,2,3.13997,0.573777,0
1,2,4.984469,0.946629,0
2,8,4.892,0.925528,0
3,7,4.414368,0.887223,1
4,2,2.440765,0.910806,0
5,7,4.977835,0.894388,0
3,5,3.006312,1.155751,0
4,2,6.408688,1.078167,0
2,8,4.629398,0.868816,0
1,2,5.306196,0.841993,0
2,8,3.733265,0.690506,0
5,7,4.985496,0.961797,1
2,8,3.260765,0.777107,0
3,3,4.067144,0.696401,0
4,2,3.791195,0.980255,0
5,7,6.652536,1.206764,0
1,2,4.096242,0.809295,0
2,8,3.18945,1.088,0
3,5,3.7363,0.636073,0
4,2,3.996101,1.005303,0
5,7,3.730318,0.863116,0
5,7,5.149257,0.950331,2
2,10,4.04139,1.286237,0
3,7,3.437098,1.057553,0
5,7,5.123771,1.038588,0
3,6,3.295283,0.939355,0
2,8,4.702139,0.892063,0
3,4,4.769537,1.226735,1
4,2,3.006776,0.84705,0
5,7,3.703772,0.989942,0
1,2,4.426246,0.894311,0
2,8,3.059064,0.756925,0
3,7,3.351255,0.846731,0
4,2,3.523456,0.921053,0
1,2,4.660529,0.824009,0
2,8,3.968782,0.678499,0
3,3,3.815871,0.577875,0
4,2,2.739084,0.996195,0
5,7,4.289719,1.109472,1
1,2,2.488381,0.997312,0
2,9,3.687866,0.941622,1
3,5,3.541463,0.793452,0
5,8,3.781682,2.095592,0
2,10,4.093473,1.280872,0
3,5,3.879328,0.893289,1
2,8,3.890653,0.68974,0
3,4,4.0526,0.61181,0
5,7,4.804256,0.908287,0
2,8,4.543385,1.0014,2
3,8,4.473364,1.300998,2
4,2,3.152967,1.087275,0
5,7,4.429462,1.01218,2
2,8,3.485899,0.917098,0
3,7,3.585223,0.982306,1
5,7,3.652439,0.875972,1
