@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0,0,0.003765,0.794164,0.838807,0.983915,2
9,0,0,0,0.009836,0.775820,0.816886,0.957562,2
9,0.026144,0,0,0.006579,0.058573,0.066667,0.058681,2
9,0.008905,0,0,0.000891,0.374632,0.393513,0.456019,2
9,0.001359,0,0,0.00136,0.767497,0.810363,0.948785,2
9,0,0,0,0,0.491810,0.511092,0.593824,2
9,0.001966,0,0,0.00295,0.779082,0.822949,0.964459,2
9,0.016473,0,0,0.002908,0.683434,0.722441,0.845452,2
9,0,0,0,0.008403,0.455807,0.473374,0.551024,2
9,0,0,0,0.023148,0.548357,0.571898,0.669173,2
9,0.030176,0,0,0.006711,0.366430,0.380646,0.437354,2
9,0.038647,0,0,0.009709,0.502126,0.528885,0.615296,2
9,0,0,0,0,0.428531,0.448058,0.514670,2
9,0,0,0,0.007133,0.601077,0.631175,0.735745,2
9,0,0,0,0.017685,0.298579,0.303113,0.339407,2
9,0,0,0,0.00417,0.822810,0.868684,1.018968,2
9,0,0,0,0.008547,0.377898,0.390630,0.454953,2
9,0,0,0,0.017986,0.311158,0.316142,0.357681,2
9,0.00309,0,0,0.004329,0.769262,0.812385,0.952185,2
9,0.012163,0,0,0.004233,0.717809,0.758475,0.888670,2
9,0,0,0,0.006065,0.670723,0.705572,0.825421,2
9,0,0,0,0.005382,0.744049,0.784039,0.918823,2
9,0,0,0,0.002326,0.813045,0.858270,1.006506,2
9,0,0,0,0.020183,0.284213,0.291255,0.327561,2
9,0.003831,0,0,0.002558,0.539216,0.564581,0.658569,2
9,0.00252,0,0,0.001261,0.797957,0.842851,0.988380,2
9,0,0,0,0.013769,0.277778,0.289952,0.325884,2
9,0,0,0,0.020619,0.142426,0.140429,0.149633,0
9,0.039773,0,0,0.022857,0.369882,0.384263,0.445489,0
9,0.003182,0,0,0.003185,0.746443,0.787228,0.922293,0
9,0,0,0,0.002857,0.872303,0.922164,1.082441,0
9,0.057971,0,0,0.001613,0.288012,0.306032,0.347374,0
9,0.056202,0,0,0,0.020224,0.026069,0.017526,0
9,0,0,0,0.015504,0.361857,0.377052,0.433093,0
9,0,0,0,0.046512,0.568856,0.591692,0.690557,0
9,0.010526,0,0,0.010582,0.418564,0.435295,0.504753,0
9,0,0,0,0.021201,0.289600,0.292241,0.326866,0
9,0,0,0,0.02521,0.401073,0.417686,0.483904,0
9,0.003049,0,0,0.015267,0.290588,0.297298,0.332842,0
9,0,0,0,0.002967,0.588235,0.617472,0.720060,0
9,0,0,0,0.005291,0.552009,0.578053,0.671226,0
9,0,0,0,0.021127,0.445650,0.461318,0.532328,0
9,0,0,0,0.008547,0.382499,0.394935,0.451978,0
9,0.06,0,0,0.030303,0.079319,0.073710,0.071164,0
9,0,0,0,0.010799,0.232739,0.233225,0.255892,0
9,0,0,0,0.00292,0.619240,0.651383,0.759277,0
9,0,0,0,0,0.796517,0.841680,0.987676,0
9,0,0,0,0.03118,0.216801,0.214146,0.237695,0
9,0,0,0,0.030303,0.674683,0.705196,0.824788,0
9,0,0,0,0.031056,0.564249,0.586306,0.683830,0
9,0,0,0,0.015306,0.319822,0.329414,0.372716,0
9,0.002028,0,0,0.020325,0.241711,0.243426,0.268890,0
9,0.013356,0,0,0.004177,0.706394,0.745595,0.872532,1
9,0,0,0,0.012903,0.539523,0.561657,0.656071,1
9,0,0,0,0.012545,0.204993,0.206631,0.222837,1
9,0,0,0,0.010204,0.412316,0.426458,0.493710,1
9,0.007042,0,0,0.002643,0.648163,0.684712,0.801737,1
9,0.012012,0,0.000751,0.001503,0.645737,0.682503,0.797277,1
9,0,0,0,0.014706,0.470367,0.490101,0.565571,1
9,0.040706,0.001359,0,0.006793,0.268041,0.281316,0.319124,1
9,0,0,0,0.007143,0.423944,0.444195,0.509489,1
9,0,0,0,0.006897,0.776377,0.818857,0.959575,1
9,0,0,0,0.014787,0.272861,0.278757,0.308082,1
9,0.035928,0,0,0.006024,0.327972,0.343656,0.393290,1
9,0.004065,0,0.001357,0.020353,0.491512,0.512177,0.595052,1
9,0,0,0,0,0.529615,0.555532,0.645264,1
9,0.004702,0,0,0.012559,0.254774,0.266437,0.292516,1
9,0,0,0,0.003932,0.568458,0.597236,0.693345,1
9,0,0,0,0.03125,0.546392,0.569008,0.661247,1
9,0,0,0,0.003226,0.797861,0.842241,0.987194,1
9,0.047927,0,0.001297,0.003891,0.351047,0.368779,0.424280,1
9,0,0,0,0.004608,0.806330,0.850957,0.998044,1
9,0,0,0,0.022968,0.279795,0.285071,0.320972,1
9,0,0,0,0.00299,0.514863,0.540430,0.628217,1
9,0.02268,0,0,0.004132,0.133613,0.142890,0.145705,1
9,0.005222,0,0,0.005229,0.574342,0.603310,0.703240,1
9,0,0,0,0.013582,0.309563,0.314518,0.354063,1
9,0,0,0,0.008065,0.303352,0.320673,0.362976,1
9,0,0,0,0.02381,0.235169,0.234233,0.264395,1
9,0,0,0,0,0.475412,0.499546,0.579573,1
9,0.013158,0,0.001317,0.003292,0.641007,0.677359,0.792148,1
9,0,0,0,0.002595,0.570559,0.598447,0.697924,1
