@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute class {0,1,2}

@data
0.071,0.741,0.188,0.482,0.26,0.468,0.294,1
0.135,0.736,0.129,0.06,0.677,0.124,0.523,1
0.03,0.742,0.227,0.37,0.546,0.126,0.489,1
0.017,0.363,0.62,0.001,0.242,0.113,0.452,1
0.259,0.285,0.456,0.002,0.167,0.624,0.235,2
0.041,0.11,0.849,0.047,0.78,0.157,0.17,2
0.059,0.616,0.325,0.376,0.409,0.105,0.455,2
0.043,0.399,0.559,0.107,0.734,0.135,0.288,1
0.082,0.837,0.081,0.821,0.14,0.116,0.508,1
0.015,0.224,0.761,0.012,0.314,0.109,0.449,2
0.035,0.672,0.293,0.007,0.777,0.491,0.331,1
0.139,0.786,0.076,0.112,0.841,0.495,0.303,1
0.075,0.66,0.266,0.003,0.507,0.179,0.476,2
0.303,0.466,0.231,0.119,0.4,0.002,0.998,1
0.03,0.801,0.169,0.041,0.614,0.13,0.658,1
0.458,0.49,0.052,0.65,0.334,0.565,0.302,1
0.009,0.782,0.209,0.011,0.771,0.122,0.46,1
0.002,0.091,0.907,0,0.191,0.414,0.289,2
0.193,0.299,0.508,0.012,0.365,0.42,0.351,2
0.111,0.667,0.221,0.593,0.365,0.198,0.439,1
0.251,0.596,0.152,0.36,0.524,0.16,0.453,1
0.269,0.446,0.285,0.33,0.518,0.197,0.384,1
0.073,0.789,0.139,0.89,0.095,0.097,0.437,2
0.503,0.345,0.152,0.135,0.766,0.149,0.22,1
0.041,0.072,0.887,0.098,0.474,0.118,0.444,2
0.152,0.659,0.189,0.266,0.626,0.387,0.408,1
0.139,0.722,0.138,0.156,0.731,0.168,0.453,1
0.414,0.478,0.108,0.048,0.716,0.611,0.299,1
0.187,0.386,0.427,0.141,0.765,0.147,0.253,1
0.067,0.703,0.23,0.012,0.651,0.157,0.458,2
0.072,0.656,0.272,0.141,0.841,0.475,0.407,1
0.111,0.765,0.124,0.156,0.748,0.499,0.346,1
0.389,0.557,0.054,0.227,0.724,0.493,0.37,1
0.057,0.806,0.137,0.036,0.731,0.184,0.452,1
0.163,0.66,0.177,0.071,0.729,0.488,0.394,1
0.382,0.533,0.085,0.258,0.559,0.29,0.411,1
0.212,0.763,0.025,0.162,0.744,0.638,0.224,1
0.25,0.567,0.182,0.543,0.256,0.486,0.221,2
0.107,0.701,0.193,0.128,0.705,0.163,0.453,1
0.146,0.79,0.064,0.366,0.56,0.224,0.715,1
0.277,0.559,0.164,0.178,0.726,0.173,0.783,1
0.31,0.606,0.084,0.525,0.418,0.15,0.637,1
0.053,0.091,0.856,0.005,0.078,0.159,0.298,2
0.062,0.694,0.244,0.001,0.083,0.097,0.444,2
0.256,0.602,0.143,0.547,0.412,0.481,0.377,2
0.264,0.619,0.117,0.241,0.693,0.165,0.458,1
0.542,0.405,0.053,0.193,0.725,0.534,0.385,1
0.128,0.856,0.016,0.503,0.487,0.577,0.318,0
0.782,0.192,0.026,0.354,0.266,0.846,0.111,0
0.249,0.42,0.331,0.164,0.407,0.169,0.319,0
0.724,0.147,0.129,0.039,0.848,0.38,0.364,0
0.195,0.74,0.065,0.322,0.343,0.59,0.275,0
0.485,0.315,0.199,0.966,0.031,0.479,0.349,0
0.242,0.746,0.012,0.269,0.7,0.708,0.207,0
0.343,0.322,0.335,0.361,0.441,0.507,0.324,0
0.048,0.088,0.864,0.513,0.362,0.376,0.452,0
0.546,0.142,0.312,0.579,0.393,0.49,0.354,0
0.653,0.137,0.21,0.771,0.201,0.666,0.248,0
0.67,0.116,0.213,0.677,0.31,0.133,0.172,0
0.443,0.421,0.136,0.554,0.366,0.563,0.339,0
0.604,0.156,0.24,0.914,0.059,0.165,0.175,0
0.689,0.299,0.013,0.966,0.034,0.08,0.435,0
0.808,0.17,0.021,0.965,0.033,0.622,0.263,0
0.242,0.64,0.118,0.115,0.879,0.536,0.284,0
0.063,0.832,0.105,0.038,0.955,0.59,0.269,0
