@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0.010969,0,0.274064,0.281831,0.316381,0
0,0,0,0.008403,0,0.454742,0.476549,0.553452,2
0.001348,0,0,0.00135,0,0.468351,0.498994,0.576590,0
0.000425,0,0,0.003825,0,0.741714,0.791419,0.922637,1
0,0,0,0.023148,0,0.546919,0.576086,0.671803,2
0.030176,0,0,0.006711,0,0.365580,0.383002,0.439208,2
0,0,0,0.027523,0,0.239959,0.238475,0.268349,0
0,0,0,0.008929,0,0.502760,0.530497,0.614053,0
0.044004,0,0,0.001101,0,0.513605,0.549187,0.635359,0
0.074713,0,0,0.046243,0,0.388159,0.401021,0.461117,0
0.007564,0,0,0.015152,0,0.321067,0.334025,0.377309,0
0.041667,0,0,0.010526,0,0.199760,0.203967,0.222869,0
0.004004,0,0,0.003006,0,0.655457,0.698761,0.811941,0
0,0,0,0.00095,0,0.823747,0.881031,1.027943,0
0,0,0,0.037037,0,0.604840,0.637758,0.741923,0
0,0,0,0.010799,0,0.232537,0.233863,0.257277,0
0,0,0,0,0,0.111180,0.113400,0.117993,0
0,0,0,0.007407,0,0.571099,0.607554,0.705263,0
0.007154,0,0,0.001591,0,0.686678,0.734204,0.854329,0
0.017647,0,0,0.023669,0,0.495230,0.519743,0.602605,0
0,0,0,0.03118,0,0.216891,0.214537,0.238927,0
0,0,0,0,0,0.438953,0.461521,0.529505,0
0,0,0,0.007952,0,0.548270,0.581413,0.672141,0
0,0,0,0.002857,0,0.869375,0.929716,1.086358,0
0,0,0,0.019608,0,0.573570,0.604242,0.703009,0
0,0,0,0.013582,0,0.309241,0.315965,0.355733,1
0,0,0,0,0,0.427367,0.450915,0.516792,2
0,0,0,0.003932,0,0.566790,0.601573,0.696002,1
0.007042,0,0,0.002643,0,0.646021,0.690251,0.804578,1
0.027933,0,0,0.033708,0,0.417709,0.435073,0.503823,0
0.023256,0,0,0.004237,0,0.152084,0.162294,0.169312,0
0.04918,0,0,0.016529,0,0.239623,0.249743,0.283695,0
0.00846,0,0,0.001695,0,0.410563,0.440071,0.506813,0
0.002894,0,0,0.001449,0,0.808594,0.865236,1.009714,0
0.011494,0,0,0.034682,0,0.407201,0.424680,0.487532,0
0,0,0,0.014842,0,0.223608,0.225498,0.247100,0
0,0,0,0,0,0.528161,0.559565,0.647793,1
0,0,0,0.007133,0,0.599233,0.635880,0.738579,2
0,0,0,0,0,0.856432,0.915975,1.069974,1
0,0,0,0.025641,0,0.605377,0.638961,0.740621,0
0,0,0,0.017685,0,0.298254,0.304392,0.341039,2
0,0,0,0.019608,0,0.386006,0.397675,0.455360,0
0.005222,0,0,0.005229,0,0.572651,0.607813,0.705844,1
0,0,0,0.00417,0,0.820137,0.875719,1.022679,2
0,0,0,0.028249,0,0.622666,0.658307,0.764227,1
0,0,0,0.012545,0,0.204978,0.206991,0.224067,1
0,0,0,0.008547,0,0.377201,0.393082,0.456921,2
0,0,0,0.001208,0,0.429300,0.453647,0.525154,1
0.020647,0,0,0,0,0.648677,0.694061,0.807143,0
0,0,0,0.012903,0,0.628954,0.665616,0.772313,0
0,0,0,0.017986,0,0.310857,0.317544,0.359412,2
0.119658,0,0,0,0,0.128768,0.132504,0.141926,0
0,0,0,0.003106,0,0.595841,0.634522,0.735799,0
0.00309,0,0,0.004329,0,0.766719,0.818942,0.955642,2
0,0,0,0.016854,0,0.629909,0.665005,0.773578,0
0.021127,0,0,0.010582,0,0.193271,0.199805,0.214924,0
0.018868,0,0,0,0,0.340181,0.360532,0.408018,0
0,0,0,0.002967,0,0.586508,0.622047,0.722835,0
0,0,0,0,0,0.832789,0.890499,1.039588,0
0,0,0,0.034483,0,0.564254,0.593066,0.688639,0
0,0,0,0.028455,0,0.224497,0.225509,0.247411,0
0,0,0,0.028302,0,0.224864,0.227980,0.255424,0
0,0,0,0.011309,0,0.550117,0.581199,0.672862,0
0,0,0,0.003333,0,0.751170,0.801823,0.934567,0
0.016129,0,0,0.043243,0,0.448653,0.469783,0.544150,0
0,0,0,0.02649,0,0.219817,0.221082,0.244046,0
0,0,0,0,0,0.474112,0.502895,0.581692,1
0,0,0,0,0,0.640005,0.681507,0.793506,0
0,0,0,0,0,0.825621,0.883043,1.030847,0
