@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature27 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature843 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1044 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.007538,0.050251,0,0,0.002519,0.005038,0.002519,0.002519,0,0,0.464928,0.510323,0.587839,0
0,0.042071,0,0.001621,0,0,0.004862,0.003241,0,0,0.701937,0.777181,0.896968,0
0,0,0,0,0.011236,0.011236,0,0.022472,0,0,0.597488,0.644561,0.741299,0
0,0.143284,0,0,0.008982,0.011976,0.008982,0,0,0,0.326577,0.343719,0.388175,0
0,0.147059,0,0,0,0,0.014925,0,0,0,0.304632,0.328201,0.373502,0
0,0.08156,0,0,0.007117,0,0.017794,0,0,0,0.461571,0.505687,0.579972,0
0,0.019666,0,0,0.001969,0.001969,0.004921,0.000984,0,0,0.706093,0.781960,0.903723,2
0,0,0,0.011494,0.022989,0.022989,0,0,0,0,0.569757,0.616804,0.710228,0
0,0.160643,0,0.004032,0.016129,0.008065,0.008065,0,0,0,0.251567,0.264987,0.298510,0
0,0.253968,0,0,0.016129,0.016129,0.016129,0,0,0,0.413618,0.448288,0.507491,0
0,0.05428,0,0.002092,0.004184,0.006276,0.004184,0.004184,0,0,0.497856,0.545893,0.628786,0
0.017383,0.013724,0,0,0,0,0.000916,0,0,0,0.250579,0.280472,0.316295,1
0.044944,0,0,0,0,0,0,0,0,0,0.030981,0.042471,0.031155,0
0.013201,0.009901,0,0,0,0,0,0,0,0,0.045181,0.061820,0.045722,0
0.123077,0.184615,0,0,0,0,0.03125,0,0,0,0.058455,0.058256,0.054488,0
0.031088,0.049223,0.002597,0,0,0.007792,0.005195,0.005195,0,0,0.302134,0.332808,0.376588,1
0.006783,0.030039,0,0,0.00097,0.00194,0.00582,0,0,0.00097,0.607985,0.672996,0.776145,2
0.02439,0.012195,0,0,0,0,0.012346,0,0,0,0.409309,0.448851,0.512875,0
0.002994,0.080838,0,0,0.006006,0.006006,0.009009,0.006006,0,0,0.147912,0.152794,0.158083,0
0.024096,0.156627,0.012195,0,0,0,0.02439,0,0,0,0.160070,0.172439,0.186228,1
0.035484,0.064516,0,0,0,0.003236,0.009709,0,0,0,0.241552,0.268412,0.298455,0
0.0125,0.025,0,0.001252,0,0,0.002503,0.001252,0,0,0.547880,0.607432,0.699535,1
0,0,0,0.011236,0,0,0,0,0,0,0.563239,0.618077,0.706353,0
0.008264,0.086777,0,0,0.004149,0,0.012448,0,0,0,0.118259,0.130857,0.130037,1
0,0.1,0,0,0.033898,0.016949,0.016949,0,0,0,0.406422,0.436520,0.495330,0
0,0.035533,0,0,0.007624,0.006353,0.003812,0.001271,0,0,0.609359,0.670887,0.772853,0
0.002299,0.025287,0,0,0,0.002304,0.006912,0,0,0,0.689351,0.763650,0.881220,0
0,0,0,0,0.042553,0.021277,0,0,0,0,0.328727,0.355864,0.405077,0
0,0.14939,0,0,0.012232,0.009174,0.015291,0,0,0,0.262388,0.272097,0.297174,0
0,0.109091,0,0,0.018519,0.018519,0.037037,0,0,0,0.303644,0.324336,0.360854,0
0,0.093294,0,0.002924,0.005848,0.002924,0.005848,0.002924,0,0,0.552270,0.606808,0.697120,0
0.017002,0.030912,0.001548,0,0,0,0.001548,0.001548,0,0,0.530029,0.587123,0.675580,0
0,0,0,0.012658,0,0,0,0,0,0,0.503084,0.550692,0.632543,0
0,0.134058,0,0.003636,0.007273,0.010909,0.021818,0.003636,0,0,0.243956,0.253239,0.280211,0
0,0,0,0,0,0.016949,0,0,0,0,0.306652,0.313955,0.351261,0
0.00361,0.093863,0,0.007246,0.007246,0.003623,0.01087,0,0,0,0.363306,0.394796,0.448946,0
0,0,0,0.002381,0.002381,0,0,0,0,0,0.753382,0.835929,0.966690,0
0,0,0,0,0.012821,0,0,0.012821,0,0,0.523437,0.566507,0.648899,0
0,0.109489,0,0,0.010989,0.003663,0.010989,0.007326,0,0,0.241741,0.249460,0.273874,0
0,0.033333,0,0,0.016949,0.016949,0,0,0,0,0.392730,0.424237,0.487503,2
0,0.048518,0,0,0,0.002703,0.013514,0,0,0,0.407658,0.449613,0.513429,0
0,0.007647,0,0.003401,0.001701,0.001701,0.001701,0.004252,0,0,0.674177,0.744667,0.859659,1
0,0.009259,0,0.018692,0.009346,0.009346,0,0,0,0,0.486083,0.530162,0.610434,2
0.015101,0.052013,0,0,0.005042,0.003361,0.011765,0.003361,0,0,0.323235,0.348461,0.396430,2
0,0,0,0,0.037037,0.018519,0,0,0,0,0.220225,0.218857,0.239264,0
