@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature24 numeric
@attribute mono_feature33 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature841 numeric
@attribute bi_feature843 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.014318,0.10324,0.019593,0,0,0,0.092006,0.006787,0,0.574496,0.606948,0.716677,0
0,0.007274,0.007274,0,0,0,0.005337,0.001941,0,0.802407,0.858253,1.020328,0
0,0.096667,0.103333,0,0,0,0.06689,0.0301,0,0.686374,0.726044,0.862182,0
0,0.152952,0.093918,0,0,0,0.126231,0.025067,0,0.388173,0.400610,0.461531,0
0,0.026432,0.039648,0,0,0,0.017699,0.00885,0,0.397786,0.415171,0.483279,0
0,0.075452,0.017003,0,0,0,0.064894,0.007447,0,0.576381,0.609536,0.716382,0
0.002949,0.018873,0.010911,0.000295,0,0,0.014749,0.002065,0,0.807940,0.863550,1.028634,2
0,0.111486,0.070946,0.003378,0,0,0.088136,0.023729,0,0.659969,0.697023,0.827583,0
0,0.153012,0.045783,0.001205,0,0,0.13269,0.013269,0,0.340683,0.349972,0.400061,0
0,0.051643,0.018779,0,0,0,0.04717,0.004717,0,0.505960,0.534362,0.621372,0
0,0.107567,0.026266,0.001876,0,0,0.096996,0.006258,0,0.600403,0.633619,0.748771,0
0.050741,0.005211,0.004388,0,0,0,0.003018,0.001097,0,0.287250,0.311836,0.360547,1
0.124579,0,0,0,0,0,0,0,0,0.033531,0.044461,0.034733,0
0.024752,0.00198,0.00297,0,0,0,0,0.000991,0,0.045537,0.060468,0.049084,0
0.197248,0.004587,0.018349,0,0.004608,0,0,0.004608,0,0.125256,0.129490,0.135858,0
0.059829,0.095571,0.017871,0,0,0,0.085537,0.005443,0,0.378035,0.399307,0.464725,1
