@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.008333,0,0,0,0.539975,0.569601,0.650652,0
0.004175,0.010438,0,0.000696,0,0.580991,0.619544,0.705296,0
0.008065,0.025161,0,0.004195,0,0.824119,0.879368,1.013849,2
0,0.035225,0,0.009804,0,0.804042,0.855745,0.986615,2
0.004878,0.134959,0,0.017087,0,0.526864,0.552864,0.631702,1
0,0.027174,0,0,0,0.406939,0.428511,0.480640,0
0.004637,0.047913,0,0.003094,0,0.568051,0.602046,0.687814,0
0.016484,0.020513,0,0.004031,0,0.718608,0.766198,0.880719,0
0,0.041199,0,0.011278,0,0.610615,0.647969,0.740183,0
0.001337,0.078877,0,0.016064,0,0.269433,0.276264,0.303957,0
0,0.09434,0,0.006329,0,0.424023,0.443863,0.504240,0
0.003752,0.074109,0,0.005634,0,0.573261,0.605907,0.691584,0
0,0.009153,0,0.002289,0,0.853194,0.911115,1.049404,0
0,0.080153,0,0.019157,0,0.651935,0.689824,0.792101,0
0,0.063429,0,0.010913,0,0.421490,0.441406,0.496376,0
0,0.004202,0,0,0,0.618129,0.657857,0.751342,0
0,0.109224,0,0.005969,0,0.653005,0.689752,0.790228,0
0,0.011589,0,0.002486,0,0.788400,0.840781,0.966338,0
0,0.102703,0,0.01626,0,0.718641,0.760277,0.875064,0
0,0.089602,0,0.023256,0,0.298171,0.307768,0.335722,1
0,0.176923,0,0.007722,0,0.574382,0.601691,0.690287,1
0,0.078777,0,0.003709,0,0.638117,0.675348,0.772267,0
0.00674,0.00674,0,0.001065,0,0.792878,0.846716,0.973406,1
0,0.170909,0,0.021898,0,0.682996,0.718875,0.826962,0
0,0.084416,0,0.03467,0,0.286662,0.294968,0.323457,0
0.005952,0.029762,0,0.005988,0,0.279857,0.293321,0.327153,0
0,0.048461,0,0.004587,0,0.657247,0.697656,0.800654,0
0.001048,0.026895,0,0.002795,0,0.770863,0.821392,0.944564,1
0,0.066066,0,0.01506,0,0.710857,0.754031,0.867129,0
0,0.07631,0,0.022805,0,0.346191,0.359606,0.401708,0
