@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature25 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1039 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.096667,0,0,0.0301,0,0,0,0.691165,0.715708,0.836067,0
0,0.152952,0.144007,0,0.023277,0.01701,0.037601,0,0.390153,0.396780,0.452000,0
0,0.026432,0.202643,0,0.004425,0.013274,0.039823,0,0.400094,0.410995,0.473711,0
0,0.075452,0.063762,0,0.001064,0.009574,0.02234,0,0.580160,0.601719,0.695580,0
0.002949,0.018873,0.016219,0,0.00177,0.00177,0.007965,0,0.813858,0.850812,0.995237,2
0,0.111486,0.016892,0,0.016949,0,0,0,0.664515,0.687333,0.802930,0
0,0.153012,0.226506,0,0.012063,0.015682,0.030157,0,0.342205,0.347373,0.393440,0
0,0.051643,0.112676,0,0.004717,0.018868,0.042453,0,0.509072,0.528098,0.604388,0
0,0.107567,0.092558,0,0.006884,0.008135,0.01627,0,0.604358,0.625404,0.727450,0
0.050741,0.005211,0.008777,0,0.001372,0.001372,0.003841,0,0.289113,0.307655,0.348297,1
0.124579,0,0,0,0,0,0,0,0.033139,0.044392,0.032160,0
0.024752,0.00198,0.011881,0,0.000991,0.002973,0.003964,0,0.045143,0.060518,0.045851,0
0.197248,0.004587,0.151376,0,0.004608,0.023041,0.023041,0,0.125488,0.129125,0.135189,0
0.059829,0.095571,0.069153,0,0.003888,0.008554,0.013219,0,0.380258,0.394557,0.451771,1
0.021802,0.011919,0.017733,0,0.002035,0.003489,0.00727,0,0.717901,0.751480,0.877709,2
0.036232,0.086957,0.057971,0,0.014545,0.003636,0.007273,0,0.506916,0.526983,0.611491,0
0.011659,0.087892,0.085202,0,0.024237,0.005386,0.022442,0,0.184490,0.189942,0.201182,0
0.115108,0.068345,0.057554,0.00361,0,0.021661,0.032491,0,0.251162,0.260119,0.288687,1
0.07343,0.021256,0.048309,0,0.000967,0.010638,0.016441,0,0.317293,0.333919,0.376749,0
0.04126,0.009377,0.010128,0,0.001876,0.001126,0.010507,0,0.649971,0.680893,0.793369,1
0,0.063333,0,0,0.016722,0,0,0,0.645354,0.672567,0.782844,0
0.030941,0.032178,0.037129,0,0.009913,0.006196,0.022305,0,0.153270,0.163098,0.165526,1
0,0.149254,0.029851,0,0.02,0.005,0.025,0,0.487398,0.499537,0.575178,0
0.004945,0.050209,0.03081,0,0.006469,0.004947,0.010654,0,0.701424,0.731007,0.852136,0
0.004135,0.012405,0.004824,0,0.002759,0.003448,0.011724,0,0.799396,0.836448,0.978201,0
0.018927,0.148265,0,0,0.018987,0,0,0,0.459382,0.473251,0.546764,0
0.005484,0.091408,0.070384,0,0.025618,0.015554,0.043916,0,0.311224,0.317087,0.355536,0
0,0.097826,0.043478,0,0.010929,0.016393,0.04918,0,0.377204,0.387009,0.440810,0
0,0.059493,0.055993,0,0.003503,0.00613,0.028897,0,0.655597,0.682041,0.792638,0
0.041223,0.006948,0.011116,0,0.000927,0.00278,0.012975,0,0.640793,0.671257,0.780381,0
