@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0,0.333267,0.346219,0.410187,0
0,0,0,0,0,0,0.485114,0.516122,0.612526,0
0.003226,0,0.001076,0,0,0,0.723998,0.768186,0.922685,2
0,0,0,0,0,0,0.703793,0.742717,0.891070,2
0.00271,0,0,0.002717,0,0,0.413752,0.431239,0.509948,1
0,0,0,0,0,0,0.299854,0.312860,0.362719,0
0,0,0.002584,0,0,0,0.466811,0.492607,0.584327,0
0.007326,0,0.002445,0.003667,0,0,0.616541,0.652801,0.781670,0
0,0,0,0,0,0,0.510737,0.537654,0.636515,0
0,0,0,0,0,0,0.219100,0.220446,0.245220,0
0,0,0,0,0,0,0.341845,0.357683,0.413198,0
0,0,0.003145,0,0,0,0.474514,0.499720,0.591488,0
0,0,0.001529,0.004587,0,0,0.760136,0.806754,0.969041,0
0,0,0.012987,0.012987,0,0,0.567588,0.598349,0.712655,0
0,0,0,0.003322,0,0,0.344408,0.357800,0.413314,0
0,0,0,0,0,0,0.531378,0.561529,0.663913,0
0,0,0.003067,0,0,0,0.561616,0.591798,0.707446,0
0,0,0.00277,0.00277,0,0,0.690962,0.732133,0.878384,0
0,0,0,0.009091,0,0,0.635825,0.666407,0.796190,0
0,0,0.003704,0.007407,0,0,0.240134,0.242576,0.270743,1
0,0,0,0,0,0,0.477317,0.498544,0.593153,1
0,0,0.003096,0.003096,0,0,0.535304,0.565184,0.674440,0
0,0,0,0,0,0,0.696134,0.738794,0.885607,1
0,0,0.012346,0.012346,0,0,0.592347,0.617544,0.738020,0
0,0,0.007246,0.01087,0,0,0.233472,0.231072,0.255736,0
0,0,0,0,0,0,0.208241,0.214411,0.239108,0
0,0,0,0.002188,0,0,0.564324,0.596138,0.712088,0
0,0,0,0.001166,0.001166,0,0.676938,0.717134,0.858682,1
0,0,0,0,0,0,0.613653,0.646408,0.771008,0
0,0,0,0.003817,0,0,0.288269,0.294186,0.335257,0
