@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,10,4.479066,1.099104,0
3,12,4.476359,1.549941,2
5,16,5.282326,1.30211,1
1,2,4.185434,0.908999,0
2,8,3.717095,0.989805,0
3,12,3.710519,1.364987,0
4,2,3.489355,0.918045,0
5,8,3.744269,0.79199,0
2,8,3.451455,0.815029,0
3,5,3.226075,1.092556,0
5,7,7.094787,0.957797,1
3,8,2.717923,1.409643,1
5,7,5.802987,0.978611,0
1,2,4.538522,0.827107,0
2,8,3.969727,1.167894,0
3,12,4.502463,1.431637,1
5,7,4.498704,0.929927,0
3,8,4.198062,1.872859,1
1,2,4.094864,1.259496,2
2,8,4.251957,1.431333,2
3,7,4.352923,1.227189,2
5,7,4.445478,1.017769,0
2,11,5.38112,1.474899,1
3,9,3.762812,1.011577,1
5,6,4.589115,1.001189,0
2,8,4.05231,0.922799,0
3,6,4.063057,1.027406,0
4,2,4.036506,0.979781,0
1,2,3.901367,1.156312,0
2,14,3.400645,1.247894,0
5,6,3.393658,0.870308,0
1,2,4.657121,0.935205,0
2,8,4.515958,1.014774,0
3,7,3.946242,1.031072,0
3,12,4.301709,1.69557,2
3,9,3.57853,1.822871,1
4,2,4.217083,1.019796,0
5,7,5.32793,1.069981,0
1,2,4.445331,1.076058,0
2,8,5.047678,0.983946,1
3,10,3.350088,1.719731,2
4,2,2.916137,0.948913,0
5,7,4.917948,1.180754,0
1,2,3.406422,1.369231,1
2,8,3.649491,0.791844,0
3,7,4.131687,1.333162,1
4,2,4.009388,1.031228,0
5,7,3.817433,0.855844,1
2,10,3.258206,2.009929,0
3,5,2.917086,0.725483,0
4,2,3.016237,1.088392,0
5,7,4.000689,1.158529,0
1,2,3.670158,0.908999,0
3,7,3.438863,1.079726,0
4,1,3.169606,0.918045,0
5,7,3.850844,0.974025,0
1,2,3.685902,0.990891,0
2,8,3.455159,0.707259,0
3,2,3.377466,0.701822,0
1,2,3.953887,0.908999,0
2,8,3.422389,0.858341,0
3,8,3.185894,0.757808,0
4,2,1.627654,0.99693,0
5,7,3.561084,1.16629,0
1,2,3.706473,0.792713,0
2,8,3.358486,1.273881,0
1,2,3.909108,0.846761,0
2,8,3.368784,1.04178,0
3,3,3.104877,0.824624,0
4,2,3.488715,1.17871,0
5,7,3.58635,1.028706,0
1,2,3.784312,1.70335,2
2,8,4.840624,0.651208,0
3,5,2.41161,0.896939,0
4,2,3.247011,0.897466,0
1,2,3.647504,0.70427,0
2,8,3.439014,0.690443,0
3,7,3.92146,1.048234,0
4,2,2.781845,0.976352,0
2,9,4.623354,0.974009,1
3,5,4.459865,0.947093,1
4,2,1.857721,1.028942,0
5,7,4.915703,0.835382,0
1,2,4.892608,1.005631,0
2,8,5.179627,0.753118,0
3,2,1.596783,0.576021,0
4,2,2.224549,0.998074,0
5,8,4.657423,0.953564,0
2,8,4.360455,0.976557,1
3,6,5.654631,1.00058,2
2,10,3.864322,1.057321,1
3,7,3.093536,1.211193,0
1,2,3.066823,0.966323,0
2,8,3.570451,1.232862,0
3,7,3.586543,1.348825,2
5,7,4.149177,1.002247,0
1,2,3.176732,0.876242,0
1,2,3.995587,0.87788,0
3,7,3.620939,0.75081,0
4,2,3.050896,1.065527,0
5,7,3.83573,0.802574,0
2,8,3.797649,1.326874,0
1,2,6.251011,1.026923,1
2,9,4.564996,0.695794,0
3,10,4.219458,1.110552,1
4,3,3.188565,1.200432,0
1,2,4.541616,1.048215,1
2,8,3.995826,0.699361,0
3,6,3.931977,1.093723,0
4,2,3.601488,0.905469,0
2,8,3.765315,0.919997,0
3,9,3.667449,1.047734,0
5,7,4.448673,0.998014,0
3,5,3.758382,0.894773,0
5,7,3.635125,0.902058,0
1,2,5.252722,0.98434,0
2,8,3.371703,0.783946,0
3,8,3.417787,1.054899,0
1,2,5.794505,1.066231,0
3,7,3.754747,0.858782,0
2,8,4.783542,0.854774,1
3,8,4.19326,1.575767,2
4,3,3.476314,1.090678,0
1,2,5.853308,1.293891,0
2,8,3.704572,0.611718,0
