@relation 'rabc_features-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -P 1 -D 1 -N 10'

@attribute task_id numeric
@attribute psy_feature1 numeric
@attribute psy_feature5 numeric
@attribute joint_feature1 numeric
@attribute class {0,1,2}

@data

2,10,4.479066,1.095819,0
3,12,4.476359,1.526876,2
5,16,5.282326,1.285713,1
1,2,4.185434,0.91,0
2,8,3.717095,0.986847,0
3,12,3.710519,1.344675,0
4,2,3.489355,0.915707,0
5,8,3.744269,0.782017,0
2,8,3.451455,0.812593,0
3,5,3.226075,1.076298,0
5,7,7.094787,0.945736,1
3,8,2.717923,1.388666,1
5,7,5.802987,0.966288,0
1,2,4.538522,0.828018,0
2,8,3.969727,1.164403,0
3,12,4.502463,1.410333,1
5,7,4.498704,0.918217,0
3,8,4.198062,1.844989,1
1,2,4.094864,1.260882,2
2,8,4.251957,1.427054,2
3,7,4.352923,1.208927,2
5,7,4.445478,1.004953,0
2,11,5.38112,1.470491,1
3,9,3.762812,0.996524,1
5,6,4.589115,0.988581,0
2,8,4.05231,0.920041,0
3,6,4.063057,1.012117,0
4,2,4.036506,0.977287,0
1,2,3.901367,1.157585,0
2,14,3.400645,1.244164,0
5,6,3.393658,0.859348,0
1,2,4.657121,0.936234,0
2,8,4.515958,1.01174,0
3,7,3.946242,1.015729,0
3,12,4.301709,1.670339,2
3,9,3.57853,1.795745,1
4,2,4.217083,1.017199,0
5,7,5.32793,1.056507,0
1,2,4.445331,1.077243,0
2,8,5.047678,0.981005,1
3,10,3.350088,1.69414,2
4,2,2.916137,0.946497,0
5,7,4.917948,1.165885,0
1,2,3.406422,1.370738,1
2,8,3.649491,0.789478,0
3,7,4.131687,1.313323,1
4,2,4.009388,1.028603,0
5,7,3.817433,0.845066,1
2,10,3.258206,2.003922,0
3,5,2.917086,0.714687,0
4,2,3.016237,1.085621,0
5,7,4.000689,1.14394,0
1,2,3.670158,0.91,0
3,7,3.438863,1.063659,0
4,1,3.169606,0.915707,0
5,7,3.850844,0.961759,0
1,2,3.685902,0.991981,0
2,8,3.455159,0.705145,0
3,2,3.377466,0.691378,0
2,8,4.94207,0.943156,0
3,18,4.223454,1.932314,1
5,10,4.426974,2.078529,2
1,2,3.953887,0.91,0
2,8,3.422389,0.855775,0
3,8,3.185894,0.746531,0
4,2,1.627654,0.994392,0
5,7,3.561084,1.151603,0
1,2,3.706473,0.793585,0
2,8,3.358486,1.270073,0
1,2,3.909108,0.847693,0
2,8,3.368784,1.038666,0
3,3,3.104877,0.812353,0
4,2,3.488715,1.175709,0
5,7,3.58635,1.015752,0
1,2,3.784312,1.705224,2
2,8,4.840624,0.649261,0
3,5,2.41161,0.883592,0
4,2,3.247011,0.895181,0
1,2,3.647504,0.705045,0
2,8,3.439014,0.68838,0
3,7,3.92146,1.032636,0
4,2,2.781845,0.973866,0
2,9,4.623354,0.971098,1
3,5,4.459865,0.933,1
4,2,1.857721,1.026322,0
5,7,4.915703,0.824863,0
1,2,4.892608,1.006738,0
2,8,5.179627,0.750867,0
3,2,1.596783,0.567449,0
4,2,2.224549,0.995532,0
5,8,4.657423,0.941556,0
2,8,4.360455,0.973638,1
3,6,5.654631,0.98569,2
2,10,3.864322,1.054161,1
3,7,3.093536,1.193169,0
1,2,3.066823,0.967387,0
2,8,3.570451,1.229177,0
3,7,3.586543,1.328753,2
5,7,4.149177,0.989626,0
1,2,3.176732,0.877207,0
1,2,3.995587,0.878846,0
3,7,3.620939,0.739637,0
4,2,3.050896,1.062813,0
5,7,3.83573,0.792467,0
2,8,3.797649,1.322908,0
1,2,6.251011,1.028054,1
2,9,4.564996,0.693714,0
3,10,4.219458,1.094026,1
4,3,3.188565,1.197376,0
1,2,4.541616,1.049369,1
2,8,3.995826,0.69727,0
3,6,3.931977,1.077447,0
4,2,3.601488,0.903163,0
2,8,3.765315,0.917247,0
3,9,3.667449,1.032143,0
5,7,4.448673,0.985446,0
3,5,3.758382,0.881458,0
5,7,3.635125,0.890698,0
1,2,5.252722,0.985423,0
2,8,3.371703,0.781603,0
3,8,3.417787,1.039201,0
2,8,4.783542,0.852219,1
3,8,4.19326,1.552318,2
4,3,3.476314,1.087901,0
1,2,5.853308,1.295315,0
2,8,3.704572,0.609889,0
3,8,3.672899,0.760483,0
5,7,5.855324,0.923442,0
1,2,5.325631,1.58881,1
2,8,3.483463,0.717591,0
3,6,4.185694,0.824007,0
1,2,5.18147,0.965747,0
2,13,6.312105,1.325702,0
3,7,4.034402,0.866521,0
4,2,2.99686,1.232727,0
5,7,5.47714,1.042922,0
1,2,5.537619,1.374017,1
2,11,5.832212,1.04146,0
