@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.019,0.328,0.654,0.127,0.399,2
0.026,0.474,0.5,0.141,0.558,1
0.17,0.668,0.162,0.425,0.453,1
0.161,0.662,0.176,0.109,0.615,1
0.01,0.777,0.213,0.39,0.477,1
0.006,0.353,0.641,0.004,0.188,1
0.222,0.368,0.411,0.043,0.336,2
0.048,0.063,0.888,0.068,0.685,2
0.022,0.555,0.422,0.341,0.467,2
0.015,0.499,0.487,0.118,0.781,1
0.092,0.854,0.054,0.732,0.206,1
0.005,0.199,0.795,0.029,0.327,2
0.015,0.604,0.381,0.015,0.783,1
0.291,0.652,0.057,0.18,0.777,1
0.003,0.821,0.176,0.007,0.443,2
0.134,0.615,0.251,0.263,0.473,1
0.011,0.84,0.149,0.058,0.65,1
0.628,0.335,0.037,0.809,0.182,1
0.002,0.802,0.196,0.027,0.662,1
0.003,0.084,0.913,0.007,0.229,2
0.068,0.332,0.6,0.058,0.301,2
0.207,0.607,0.185,0.434,0.506,1
0.192,0.564,0.244,0.21,0.752,1
0.366,0.351,0.283,0.516,0.366,1
0.032,0.833,0.135,0.223,0.734,2
0.287,0.493,0.22,0.411,0.472,1
0.041,0.015,0.945,0.154,0.461,2
0.13,0.68,0.189,0.67,0.249,1
0.179,0.669,0.153,0.132,0.777,1
0.386,0.506,0.108,0.49,0.401,1
0.171,0.378,0.451,0.13,0.684,1
0.016,0.713,0.271,0.034,0.504,2
0.039,0.511,0.451,0.198,0.619,1
0.218,0.622,0.16,0.222,0.552,1
0.406,0.552,0.042,0.433,0.511,1
0.046,0.81,0.144,0.034,0.759,1
0.13,0.704,0.166,0.118,0.629,1
0.174,0.779,0.047,0.326,0.599,1
0.39,0.593,0.017,0.207,0.706,1
0.356,0.488,0.157,0.439,0.467,2
0.02,0.734,0.246,0.149,0.582,1
0.234,0.744,0.023,0.297,0.639,1
0.402,0.479,0.119,0.143,0.661,1
0.326,0.607,0.067,0.503,0.439,1
0.13,0.021,0.849,0.125,0.095,2
0.032,0.674,0.294,0.075,0.09,2
0.416,0.48,0.104,0.46,0.496,2
0.16,0.666,0.174,0.187,0.634,1
0.6,0.367,0.033,0.492,0.411,1
0.46,0.33,0.21,0.496,0.453,0
0.531,0.223,0.247,0.616,0.316,0
0.667,0.149,0.183,0.52,0.383,0
0.443,0.484,0.073,0.757,0.198,0
0.648,0.34,0.013,0.654,0.321,0
0.698,0.249,0.053,0.852,0.136,0
0.597,0.168,0.235,0.912,0.084,0
0.715,0.146,0.139,0.155,0.758,0
0.037,0.89,0.073,0.682,0.213,0
0.438,0.324,0.238,0.91,0.087,0
0.749,0.105,0.146,0.903,0.089,0
0.426,0.565,0.009,0.771,0.218,0
0.915,0.07,0.015,0.918,0.078,0
0.689,0.26,0.052,0.864,0.126,0
0.207,0.166,0.627,0.365,0.48,0
0.175,0.159,0.666,0.495,0.296,0
0.564,0.401,0.035,0.491,0.358,0
0.486,0.364,0.151,0.31,0.653,0
0.622,0.31,0.067,0.369,0.558,0
0.289,0.647,0.064,0.681,0.282,0
